,neighbourhood_group,room_type,price,property_type,accommodates,bedrooms,bathrooms
0,Manhattan,Entire home/apt,225,Entire Unit,1,0.0,1.0
2,Manhattan,Private room,79,Private Room,2,1.0,1.0
4,Brooklyn,Private room,89,Private Room,2,1.0,1.5
5,Brooklyn,Entire home/apt,140,Entire Unit,3,0.0,1.0
6,Brooklyn,Entire home/apt,215,Entire Unit,4,1.0,1.0
8,Brooklyn,Entire home/apt,120,Entire Unit,5,1.0,1.0
9,Manhattan,Entire home/apt,150,Entire Unit,2,0.0,1.0
10,Manhattan,Private room,52,Private Room,2,1.0,1.0
11,Brooklyn,Private room,70,Private Room,3,1.0,1.0
12,Brooklyn,Private room,89,Private Room,2,1.0,1.0
13,Brooklyn,Private room,150,Private Room,1,1.0,1.0
14,Manhattan,Private room,68,Private Room,2,1.0,1.0
15,Queens,Private room,130,Private Room,4,1.0,1.0
16,Brooklyn,Entire home/apt,110,Entire Unit,2,1.0,1.0
17,Brooklyn,Private room,80,Private Room,2,1.0,1.0
18,Brooklyn,Entire home/apt,228,Entire Unit,2,2.0,1.0
19,Brooklyn,Entire home/apt,144,Entire Unit,2,1.0,1.0
20,Manhattan,Entire home/apt,180,Entire Unit,3,1.0,1.0
21,Brooklyn,Private room,80,Private Room,1,1.0,1.0
23,Brooklyn,Entire home/apt,200,Entire Unit,4,4.0,2.0
24,Manhattan,Private room,80,Private Room,2,1.0,1.0
25,Manhattan,Private room,99,Private Room,1,1.0,1.0
27,Manhattan,Entire home/apt,230,Entire Unit,2,1.0,1.0
28,Manhattan,Private room,65,Private Room,2,1.0,1.0
29,Manhattan,Private room,200,Private Room,2,2.0,1.0
30,Manhattan,Private room,150,Private Room,3,1.0,1.5
31,Manhattan,Entire home/apt,110,Entire Unit,2,2.0,1.0
32,Brooklyn,Entire home/apt,105,Entire Unit,2,1.0,1.0
34,Manhattan,Entire home/apt,140,Private Room,2,1.0,1.0
35,Manhattan,Private room,89,Private Room,1,1.0,1.0
36,Manhattan,Private room,98,Private Room,2,1.0,1.0
37,Brooklyn,Entire home/apt,175,Entire Unit,2,1.0,1.0
39,Brooklyn,Entire home/apt,220,Entire Unit,5,4.0,3.0
40,Brooklyn,Entire home/apt,80,Entire Unit,4,1.0,1.0
41,Manhattan,Private room,100,Private Room,2,1.0,1.0
42,Brooklyn,Entire home/apt,120,Entire Unit,2,1.0,1.0
43,Manhattan,Entire home/apt,170,Entire Unit,6,1.0,1.0
45,Manhattan,Entire home/apt,150,Entire Unit,4,1.0,1.0
46,Brooklyn,Private room,70,Private Room,2,1.0,1.0
47,Brooklyn,Private room,89,Private Room,2,1.0,1.0
48,Manhattan,Entire home/apt,185,Entire Unit,3,1.0,1.0
49,Manhattan,Private room,130,Private Room,1,1.0,1.0
50,Manhattan,Entire home/apt,115,Entire Unit,2,0.0,1.0
51,Brooklyn,Private room,77,Private Room,2,3.0,1.0
52,Brooklyn,Private room,76,Private Room,2,1.0,1.0
53,Brooklyn,Private room,135,Private Room,3,1.0,1.5
54,Brooklyn,Entire home/apt,195,Entire Unit,2,1.0,1.0
55,Manhattan,Private room,69,Private Room,2,1.0,1.0
56,Manhattan,Entire home/apt,225,Entire Unit,2,1.0,1.0
57,Brooklyn,Entire home/apt,125,Entire Unit,2,1.0,1.0
59,Brooklyn,Private room,69,Private Room,2,1.0,1.0
60,Queens,Private room,79,Private Room,1,1.0,1.0
61,Brooklyn,Entire home/apt,135,Entire Unit,4,1.0,1.0
62,Brooklyn,Entire home/apt,165,Entire Unit,2,1.0,1.0
63,Staten Island,Private room,70,Private Room,2,1.0,1.0
64,Brooklyn,Private room,110,Private Room,2,1.0,1.0
68,Manhattan,Private room,99,Private Room,2,1.0,1.0
69,Brooklyn,Entire home/apt,150,Entire Unit,2,1.0,1.0
70,Brooklyn,Private room,120,Private Room,2,1.0,1.0
71,Brooklyn,Entire home/apt,135,Entire Unit,4,1.0,1.0
73,Queens,Entire home/apt,98,Entire Unit,4,1.0,1.0
74,Queens,Private room,140,Entire Unit,7,2.0,1.0
76,Manhattan,Private room,200,Private Room,2,1.0,1.0
77,Brooklyn,Private room,100,Private Room,2,1.0,2.0
78,Manhattan,Private room,100,Private Room,2,1.0,1.0
79,Brooklyn,Private room,69,Private Room,1,1.0,1.0
81,Manhattan,Private room,64,Private Room,2,1.0,1.0
82,Queens,Entire home/apt,140,Entire Unit,2,1.0,1.0
83,Brooklyn,Entire home/apt,159,Entire Unit,3,1.0,1.0
84,Manhattan,Entire home/apt,250,Entire Unit,2,1.0,1.0
85,Manhattan,Entire home/apt,305,Entire Unit,2,1.0,1.0
86,Manhattan,Entire home/apt,155,Entire Unit,2,1.0,1.0
87,Manhattan,Private room,60,Private Room,2,1.0,1.5
88,Brooklyn,Private room,135,Private Room,4,2.0,1.0
89,Manhattan,Entire home/apt,150,Entire Unit,2,1.0,1.0
91,Manhattan,Entire home/apt,250,Entire Unit,5,2.0,1.0
93,Manhattan,Entire home/apt,225,Entire Unit,3,1.0,1.0
94,Manhattan,Entire home/apt,125,Entire Unit,2,1.0,1.0
95,Manhattan,Private room,92,Private Room,2,1.0,1.5
96,Manhattan,Private room,175,Private Room,2,1.0,1.0
97,Manhattan,Entire home/apt,99,Entire Unit,6,1.0,1.0
99,Manhattan,Entire home/apt,110,Entire Unit,3,1.0,1.0
100,Manhattan,Entire home/apt,130,Entire Unit,2,1.0,1.0
101,Brooklyn,Entire home/apt,285,Entire Unit,4,2.0,2.0
102,Bronx,Private room,90,Private Room,3,1.0,1.0
103,Bronx,Entire home/apt,105,Entire Unit,2,1.0,1.0
104,Brooklyn,Entire home/apt,135,Entire Unit,2,1.0,1.0
107,Brooklyn,Private room,100,Private Room,2,1.0,1.0
109,Brooklyn,Private room,60,Private Room,3,1.0,1.0
110,Manhattan,Private room,68,Private Room,2,1.0,1.0
111,Brooklyn,Entire home/apt,130,Entire Unit,2,1.0,1.0
112,Brooklyn,Entire home/apt,95,Entire Unit,3,1.0,1.0
113,Manhattan,Private room,75,Private Room,1,1.0,1.0
114,Brooklyn,Entire home/apt,190,Entire Unit,4,2.0,1.0
115,Manhattan,Entire home/apt,212,Entire Unit,2,0.0,1.0
116,Manhattan,Private room,95,Entire Unit,7,2.0,1.0
117,Brooklyn,Entire home/apt,150,Entire Unit,4,1.0,1.0
118,Brooklyn,Entire home/apt,190,Entire Unit,2,1.0,1.0
119,Manhattan,Entire home/apt,124,Entire Unit,2,1.0,1.0
120,Brooklyn,Entire home/apt,135,Entire Unit,4,1.0,1.0
121,Manhattan,Private room,122,Private Room,2,1.0,1.0
122,Manhattan,Entire home/apt,195,Entire Unit,2,1.0,1.0
123,Brooklyn,Private room,125,Private Room,2,1.0,1.0
125,Manhattan,Entire home/apt,150,Entire Unit,2,1.0,1.0
126,Manhattan,Entire home/apt,250,Entire Unit,5,2.0,1.0
127,Manhattan,Entire home/apt,125,Entire Unit,2,1.0,1.0
128,Manhattan,Entire home/apt,200,Entire Unit,2,1.0,1.0
129,Brooklyn,Entire home/apt,229,Entire Unit,4,1.0,1.0
130,Bronx,Entire home/apt,90,Entire Unit,2,1.0,1.0
132,Brooklyn,Private room,59,Private Room,1,1.0,1.0
133,Manhattan,Entire home/apt,113,Entire Unit,3,1.0,1.0
134,Queens,Entire home/apt,115,Entire Unit,4,1.0,1.0
136,Manhattan,Entire home/apt,150,Entire Unit,3,1.0,1.0
137,Brooklyn,Private room,179,Room In,2,1.0,1.0
138,Manhattan,Private room,71,Private Room,2,1.0,1.0
141,Brooklyn,Entire home/apt,165,Entire Unit,5,3.0,1.5
142,Brooklyn,Private room,249,Room In,4,1.0,1.0
143,Manhattan,Entire home/apt,169,Entire Unit,2,1.0,1.0
144,Brooklyn,Entire home/apt,185,Entire Unit,5,2.0,1.0
145,Brooklyn,Entire home/apt,65,Entire Unit,3,1.0,1.0
146,Brooklyn,Private room,179,Room In,2,1.0,1.0
147,Brooklyn,Entire home/apt,90,Entire Unit,4,2.0,1.0
148,Brooklyn,Entire home/apt,120,Entire Unit,5,2.0,1.0
149,Brooklyn,Entire home/apt,100,Entire Unit,4,1.0,1.0
150,Brooklyn,Entire home/apt,120,Entire Unit,2,1.0,1.5
151,Brooklyn,Entire home/apt,200,Entire Unit,6,2.0,1.0
152,Manhattan,Entire home/apt,130,Entire Unit,2,1.0,1.0
153,Brooklyn,Entire home/apt,130,Entire Unit,3,1.0,1.0
155,Brooklyn,Entire home/apt,190,Entire Unit,2,1.0,1.0
157,Queens,Private room,70,Private Room,1,1.0,1.0
158,Manhattan,Private room,60,Private Room,1,1.0,1.5
159,Brooklyn,Entire home/apt,175,Entire Unit,3,1.0,1.0
161,Brooklyn,Private room,95,Private Room,2,1.0,1.0
162,Brooklyn,Private room,55,Private Room,2,1.0,1.0
163,Manhattan,Private room,65,Private Room,1,1.0,1.0
164,Brooklyn,Entire home/apt,110,Entire Unit,2,2.0,1.0
165,Brooklyn,Entire home/apt,200,Entire Unit,3,1.0,1.0
166,Brooklyn,Entire home/apt,165,Entire Unit,4,2.0,2.0
167,Manhattan,Entire home/apt,110,Entire Unit,3,0.0,1.0
168,Brooklyn,Private room,99,Private Room,2,1.0,1.0
171,Brooklyn,Entire home/apt,260,Entire Unit,4,2.0,0.0
172,Queens,Entire home/apt,97,Entire Unit,3,1.0,1.0
173,Manhattan,Private room,130,Private Room,1,1.0,1.0
174,Brooklyn,Entire home/apt,225,Entire Unit,2,1.0,1.0
175,Brooklyn,Entire home/apt,170,Entire Unit,3,1.0,1.0
176,Brooklyn,Entire home/apt,250,Entire Unit,5,3.0,2.5
177,Brooklyn,Entire home/apt,64,Entire Unit,2,1.0,1.0
178,Brooklyn,Entire home/apt,249,Entire Unit,4,0.0,1.0
179,Manhattan,Entire home/apt,185,Entire Unit,2,2.0,0.0
180,Brooklyn,Entire home/apt,120,Entire Unit,4,0.0,1.0
183,Manhattan,Entire home/apt,259,Entire Unit,5,2.0,1.0
187,Manhattan,Entire home/apt,165,Entire Unit,3,2.0,1.0
190,Queens,Entire home/apt,129,Entire Unit,3,2.0,1.0
191,Brooklyn,Entire home/apt,150,Entire Unit,2,1.0,1.0
193,Manhattan,Private room,175,Private Room,2,1.0,1.0
194,Brooklyn,Entire home/apt,72,Entire Unit,4,1.0,1.0
195,Brooklyn,Private room,165,Private Room,2,1.0,1.0
196,Brooklyn,Private room,88,Private Room,3,1.0,1.0
197,Brooklyn,Private room,80,Private Room,2,1.0,1.0
200,Brooklyn,Entire home/apt,130,Entire Unit,2,1.0,1.0
201,Manhattan,Entire home/apt,99,Entire Unit,5,1.0,1.0
202,Manhattan,Entire home/apt,250,Entire Unit,6,2.0,1.0
205,Brooklyn,Entire home/apt,105,Entire Unit,2,1.0,1.0
206,Bronx,Private room,37,Private Room,2,1.0,1.0
207,Brooklyn,Entire home/apt,85,Entire Unit,4,1.0,1.0
210,Brooklyn,Private room,85,Private Room,2,1.0,1.5
211,Brooklyn,Private room,91,Private Room,2,1.0,1.0
214,Manhattan,Entire home/apt,189,Private Room,2,1.0,1.0
215,Manhattan,Entire home/apt,300,Entire Unit,6,2.0,1.0
216,Manhattan,Entire home/apt,120,Entire Unit,3,0.0,1.0
217,Bronx,Entire home/apt,125,Entire Unit,5,1.0,1.0
218,Brooklyn,Entire home/apt,99,Entire Unit,2,1.0,1.0
221,Manhattan,Private room,99,Private Room,2,1.0,1.0
222,Manhattan,Private room,255,Private Room,2,1.0,1.0
224,Brooklyn,Entire home/apt,99,Entire Unit,2,1.0,1.0
225,Brooklyn,Entire home/apt,215,Entire Unit,2,1.0,1.0
226,Brooklyn,Entire home/apt,130,Entire Unit,3,1.0,1.0
227,Manhattan,Private room,50,Private Room,2,1.0,1.5
228,Brooklyn,Private room,105,Private Room,2,1.0,1.0
229,Brooklyn,Entire home/apt,99,Entire Unit,2,2.0,1.0
230,Brooklyn,Private room,100,Private Room,2,1.0,1.0
232,Manhattan,Entire home/apt,160,Entire Unit,2,1.0,1.0
233,Brooklyn,Entire home/apt,190,Entire Unit,4,1.0,1.0
237,Brooklyn,Entire home/apt,145,Entire Unit,2,1.0,1.0
238,Brooklyn,Entire home/apt,120,Entire Unit,3,1.0,1.0
240,Brooklyn,Entire home/apt,195,Entire Unit,2,1.0,1.0
242,Brooklyn,Entire home/apt,145,Entire Unit,4,2.0,1.0
243,Queens,Private room,50,Private Room,2,1.0,1.0
244,Manhattan,Private room,80,Private Room,1,2.0,1.0
247,Staten Island,Private room,80,Entire Unit,3,1.0,1.0
248,Manhattan,Private room,80,Private Room,1,1.0,1.0
249,Brooklyn,Entire home/apt,110,Entire Unit,2,1.0,1.0
250,Manhattan,Private room,100,Private Room,1,1.0,1.0
252,Manhattan,Entire home/apt,199,Entire Unit,2,1.0,1.0
253,Brooklyn,Entire home/apt,150,Entire Unit,2,1.0,1.0
254,Manhattan,Private room,69,Private Room,2,1.0,1.0
255,Staten Island,Entire home/apt,75,Entire Unit,3,1.0,1.0
256,Brooklyn,Entire home/apt,220,Entire Unit,5,2.0,1.0
257,Brooklyn,Entire home/apt,80,Entire Unit,4,2.0,1.0
258,Brooklyn,Entire home/apt,135,Entire Unit,4,1.0,1.0
259,Brooklyn,Entire home/apt,100,Entire Unit,2,1.0,1.0
260,Manhattan,Entire home/apt,135,Entire Unit,2,1.0,1.0
261,Brooklyn,Entire home/apt,110,Entire Unit,2,0.0,1.0
262,Queens,Private room,55,Private Room,2,1.0,1.0
264,Manhattan,Private room,130,Private Room,3,1.0,1.0
265,Manhattan,Entire home/apt,190,Entire Unit,2,1.0,1.0
266,Manhattan,Entire home/apt,200,Entire Unit,2,1.0,1.0
267,Brooklyn,Entire home/apt,180,Entire Unit,1,1.0,1.0
268,Queens,Entire home/apt,75,Entire Unit,1,1.0,1.0
271,Bronx,Private room,42,Private Room,3,1.0,1.0
272,Brooklyn,Entire home/apt,180,Entire Unit,4,1.0,1.0
274,Queens,Entire home/apt,79,Entire Unit,2,1.0,1.0
275,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
277,Manhattan,Private room,125,Private Room,1,1.0,1.0
278,Brooklyn,Private room,100,Private Room,1,1.0,1.0
280,Manhattan,Private room,125,Private Room,2,1.0,1.0
282,Manhattan,Private room,140,Private Room,1,2.0,2.0
283,Brooklyn,Entire home/apt,96,Entire Unit,5,2.0,2.0
284,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
285,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
286,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
287,Manhattan,Entire home/apt,185,Private Room,2,1.0,1.0
288,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
289,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
290,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
291,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
292,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
294,Brooklyn,Private room,249,Room In,4,1.0,1.0
295,Brooklyn,Private room,299,Room In,4,1.0,1.0
296,Brooklyn,Private room,179,Room In,2,1.0,1.0
299,Brooklyn,Private room,89,Private Room,2,2.0,2.0
300,Brooklyn,Entire home/apt,170,Entire Unit,4,2.0,1.0
302,Brooklyn,Entire home/apt,125,Entire Unit,3,2.0,1.0
303,Manhattan,Entire home/apt,325,Entire Unit,3,1.0,1.0
310,Brooklyn,Entire home/apt,92,Entire Unit,2,1.0,1.0
311,Manhattan,Private room,80,Private Room,2,1.0,1.0
312,Manhattan,Entire home/apt,300,Entire Unit,4,2.0,1.0
313,Brooklyn,Entire home/apt,145,Entire Unit,4,3.0,1.0
315,Brooklyn,Private room,99,Private Room,2,1.0,1.0
318,Manhattan,Entire home/apt,195,Entire Unit,4,2.0,1.0
320,Brooklyn,Private room,60,Private Room,2,1.0,1.0
323,Brooklyn,Private room,50,Entire Unit,1,1.0,1.0
324,Queens,Private room,96,Private Room,2,1.0,1.0
325,Brooklyn,Private room,45,Private Room,2,1.0,1.0
326,Queens,Private room,85,Private Room,2,1.0,1.0
327,Brooklyn,Private room,34,Private Room,1,1.0,1.0
328,Manhattan,Entire home/apt,250,Entire Unit,4,1.0,1.0
329,Manhattan,Entire home/apt,125,Entire Unit,2,1.0,1.0
330,Manhattan,Entire home/apt,56,Entire Unit,2,1.0,1.0
331,Manhattan,Entire home/apt,299,Entire Unit,2,1.0,1.0
332,Manhattan,Private room,99,Private Room,2,1.0,1.0
333,Brooklyn,Entire home/apt,110,Entire Unit,4,1.0,1.0
334,Manhattan,Entire home/apt,110,Entire Unit,1,0.0,1.0
335,Brooklyn,Entire home/apt,165,Entire Unit,5,2.0,1.0
338,Manhattan,Private room,50,Private Room,2,1.0,1.0
344,Manhattan,Private room,130,Private Room,2,1.0,0.0
346,Brooklyn,Private room,125,Private Room,6,4.0,1.0
348,Brooklyn,Entire home/apt,110,Entire Unit,2,0.0,1.0
350,Brooklyn,Entire home/apt,100,Entire Unit,6,2.0,1.0
351,Manhattan,Entire home/apt,165,Entire Unit,2,1.0,1.0
352,Brooklyn,Entire home/apt,275,Entire Unit,4,2.0,1.0
356,Manhattan,Entire home/apt,199,Entire Unit,3,1.0,1.0
358,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
359,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
361,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
362,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
363,Brooklyn,Entire home/apt,199,Entire Unit,4,1.0,1.0
365,Manhattan,Entire home/apt,300,Entire Unit,2,1.0,1.0
366,Queens,Private room,55,Private Room,1,1.0,0.0
370,Brooklyn,Entire home/apt,100,Entire Unit,7,3.0,2.0
372,Brooklyn,Entire home/apt,180,Entire Unit,4,2.0,1.0
373,Brooklyn,Private room,65,Private Room,4,1.0,1.0
374,Brooklyn,Private room,75,Private Room,2,1.0,1.0
375,Queens,Private room,52,Private Room,2,2.0,1.0
376,Manhattan,Private room,89,Private Room,2,1.0,1.0
377,Manhattan,Private room,110,Private Room,1,1.0,1.0
380,Manhattan,Entire home/apt,115,Entire Unit,2,0.0,1.0
383,Manhattan,Entire home/apt,219,Entire Unit,2,1.0,1.0
384,Manhattan,Entire home/apt,159,Entire Unit,2,1.0,1.0
385,Manhattan,Entire home/apt,299,Entire Unit,4,2.0,2.0
386,Brooklyn,Entire home/apt,165,Entire Unit,6,2.0,1.0
387,Manhattan,Entire home/apt,250,Entire Unit,2,1.0,1.0
388,Manhattan,Private room,75,Private Room,1,1.0,1.0
390,Manhattan,Private room,80,Private Room,2,1.0,1.0
391,Manhattan,Private room,75,Private Room,2,1.0,1.0
392,Manhattan,Private room,95,Private Room,2,1.0,1.0
393,Manhattan,Private room,89,Private Room,2,1.0,1.0
395,Brooklyn,Entire home/apt,178,Entire Unit,2,2.0,1.0
396,Manhattan,Entire home/apt,265,Entire Unit,2,1.0,1.0
397,Brooklyn,Private room,77,Private Room,2,1.0,1.0
398,Manhattan,Entire home/apt,129,Private Room,2,1.0,1.0
399,Brooklyn,Private room,92,Private Room,2,1.0,1.0
401,Brooklyn,Private room,120,Private Room,1,2.0,1.0
402,Brooklyn,Private room,129,Private Room,2,1.0,1.0
403,Manhattan,Entire home/apt,200,Entire Unit,4,2.0,1.0
404,Brooklyn,Entire home/apt,125,Entire Unit,2,1.0,1.0
406,Manhattan,Private room,160,Private Room,3,1.0,1.0
407,Manhattan,Private room,180,Private Room,4,1.0,1.0
409,Bronx,Entire home/apt,120,Entire Unit,5,2.0,1.0
410,Manhattan,Private room,105,Private Room,1,1.0,1.0
412,Manhattan,Private room,99,Private Room,2,2.0,2.0
415,Brooklyn,Private room,45,Private Room,1,1.0,1.0
416,Queens,Private room,75,Private Room,2,1.0,2.0
417,Manhattan,Entire home/apt,135,Entire Unit,2,0.0,1.0
418,Manhattan,Private room,125,Private Room,1,1.0,1.0
420,Manhattan,Private room,90,Entire Unit,2,2.0,1.0
422,Brooklyn,Entire home/apt,88,Entire Unit,2,1.0,1.0
423,Queens,Entire home/apt,215,Entire Unit,5,1.0,1.0
424,Brooklyn,Private room,75,Private Room,2,1.0,1.0
426,Brooklyn,Entire home/apt,229,Entire Unit,4,1.0,1.0
427,Brooklyn,Entire home/apt,300,Entire Unit,5,2.0,1.0
428,Brooklyn,Entire home/apt,75,Entire Unit,4,1.0,1.0
429,Brooklyn,Entire home/apt,160,Entire Unit,6,3.0,1.0
430,Brooklyn,Private room,119,Private Room,2,1.0,1.0
432,Brooklyn,Entire home/apt,87,Entire Unit,2,1.0,1.0
433,Brooklyn,Entire home/apt,160,Entire Unit,6,2.0,1.0
434,Brooklyn,Entire home/apt,90,Entire Unit,3,1.0,1.0
436,Brooklyn,Private room,55,Private Room,1,1.0,1.0
439,Manhattan,Entire home/apt,275,Entire Unit,5,2.0,1.0
441,Brooklyn,Entire home/apt,125,Entire Unit,3,1.0,1.0
442,Brooklyn,Entire home/apt,150,Entire Unit,2,1.0,1.0
443,Brooklyn,Entire home/apt,105,Entire Unit,3,2.0,1.0
445,Brooklyn,Entire home/apt,150,Entire Unit,2,2.0,1.0
446,Brooklyn,Entire home/apt,299,Entire Unit,5,4.0,2.0
447,Queens,Entire home/apt,77,Entire Unit,5,1.0,1.0
450,Brooklyn,Entire home/apt,189,Entire Unit,2,1.0,1.5
451,Bronx,Private room,49,Private Room,1,1.0,1.0
452,Manhattan,Private room,100,Private Room,1,1.0,1.0
453,Queens,Private room,75,Private Room,2,1.0,1.0
454,Queens,Private room,69,Private Room,2,1.0,1.0
455,Brooklyn,Private room,80,Private Room,2,1.0,1.0
456,Manhattan,Entire home/apt,250,Entire Unit,2,1.0,1.0
458,Brooklyn,Entire home/apt,142,Entire Unit,2,1.0,1.0
459,Brooklyn,Private room,70,Private Room,2,1.0,1.0
460,Manhattan,Entire home/apt,225,Entire Unit,3,2.0,1.0
463,Manhattan,Entire home/apt,99,Entire Unit,2,2.0,1.0
464,Manhattan,Entire home/apt,50,Entire Unit,2,1.0,1.0
467,Manhattan,Entire home/apt,174,Entire Unit,2,1.0,1.0
472,Brooklyn,Entire home/apt,250,Entire Unit,7,3.0,1.0
474,Brooklyn,Entire home/apt,235,Entire Unit,5,2.0,1.0
475,Brooklyn,Entire home/apt,100,Entire Unit,3,2.0,1.0
476,Manhattan,Entire home/apt,311,Entire Unit,2,1.0,1.0
477,Queens,Shared room,39,Shared Room,3,1.0,1.0
478,Manhattan,Private room,100,Private Room,2,1.0,1.0
480,Manhattan,Private room,89,Private Room,2,1.0,1.0
483,Brooklyn,Private room,110,Private Room,4,1.0,1.0
486,Manhattan,Private room,85,Private Room,2,1.0,1.5
487,Manhattan,Private room,80,Private Room,2,1.0,1.0
490,Queens,Private room,80,Entire Unit,1,1.0,1.0
491,Brooklyn,Private room,55,Private Room,2,1.0,1.0
492,Brooklyn,Entire home/apt,142,Entire Unit,3,1.0,1.0
494,Brooklyn,Entire home/apt,300,Entire Unit,7,3.0,2.5
495,Brooklyn,Entire home/apt,105,Entire Unit,3,1.0,1.0
497,Manhattan,Entire home/apt,99,Entire Unit,2,1.0,1.0
498,Brooklyn,Private room,102,Private Room,2,1.0,1.0
499,Brooklyn,Entire home/apt,220,Entire Unit,5,3.0,2.0
502,Queens,Private room,85,Private Room,2,1.0,1.0
504,Brooklyn,Private room,120,Private Room,2,1.0,1.0
505,Brooklyn,Entire home/apt,169,Entire Unit,6,2.0,1.5
506,Brooklyn,Private room,85,Private Room,2,1.0,1.5
508,Staten Island,Private room,68,Private Room,1,2.0,1.0
511,Brooklyn,Entire home/apt,209,Entire Unit,5,2.0,1.0
512,Manhattan,Entire home/apt,104,Entire Unit,2,1.0,1.0
514,Brooklyn,Private room,68,Private Room,2,1.0,1.0
515,Brooklyn,Private room,49,Private Room,1,1.0,1.0
518,Brooklyn,Entire home/apt,125,Entire Unit,2,1.0,1.0
520,Brooklyn,Entire home/apt,180,Entire Unit,2,1.0,1.0
523,Manhattan,Private room,82,Private Room,1,1.0,1.0
524,Queens,Private room,75,Private Room,2,1.0,1.0
528,Manhattan,Entire home/apt,118,Entire Unit,2,0.0,1.0
529,Manhattan,Private room,50,Private Room,2,1.0,1.0
530,Manhattan,Private room,90,Private Room,2,1.0,1.0
531,Brooklyn,Private room,36,Private Room,1,1.0,1.0
532,Manhattan,Entire home/apt,220,Entire Unit,4,1.0,1.0
533,Manhattan,Private room,93,Private Room,1,2.0,1.0
534,Manhattan,Entire home/apt,165,Entire Unit,2,1.0,1.0
535,Brooklyn,Entire home/apt,80,Entire Unit,2,1.0,1.0
536,Manhattan,Private room,295,Entire Unit,2,1.0,1.0
537,Manhattan,Entire home/apt,300,Entire Unit,2,2.0,1.0
539,Manhattan,Entire home/apt,195,Entire Unit,4,1.0,1.0
540,Queens,Entire home/apt,150,Private Room,2,1.0,1.0
541,Manhattan,Entire home/apt,185,Entire Unit,6,2.0,1.0
542,Brooklyn,Entire home/apt,189,Entire Unit,2,1.0,1.0
543,Queens,Entire home/apt,110,Entire Unit,3,0.0,1.0
546,Brooklyn,Private room,200,Private Room,3,1.0,1.0
547,Brooklyn,Private room,69,Private Room,2,2.0,1.0
548,Queens,Private room,55,Private Room,2,1.0,1.0
549,Brooklyn,Private room,199,Private Room,1,1.0,1.0
552,Brooklyn,Entire home/apt,185,Entire Unit,6,2.0,1.0
553,Manhattan,Entire home/apt,220,Entire Unit,5,2.0,1.0
555,Manhattan,Entire home/apt,295,Entire Unit,2,2.0,1.0
558,Manhattan,Private room,107,Private Room,4,1.0,1.0
559,Brooklyn,Entire home/apt,115,Entire Unit,2,1.0,1.0
560,Manhattan,Entire home/apt,151,Entire Unit,5,2.0,1.0
562,Brooklyn,Entire home/apt,180,Entire Unit,6,2.0,1.0
563,Brooklyn,Private room,95,Private Room,2,1.0,1.0
564,Manhattan,Private room,79,Private Room,1,1.0,1.0
565,Brooklyn,Private room,60,Private Room,1,1.0,1.5
568,Manhattan,Private room,96,Private Room,1,1.0,1.5
569,Manhattan,Private room,75,Private Room,2,1.0,1.0
570,Brooklyn,Entire home/apt,155,Entire Unit,3,1.0,1.0
571,Queens,Private room,69,Private Room,2,1.0,1.0
573,Manhattan,Private room,120,Private Room,2,1.0,1.0
575,Brooklyn,Private room,72,Private Room,2,1.0,1.0
576,Manhattan,Entire home/apt,199,Entire Unit,2,1.0,1.5
577,Manhattan,Private room,75,Private Room,2,2.0,1.0
578,Manhattan,Private room,125,Private Room,1,1.0,1.0
579,Manhattan,Private room,229,Private Room,4,1.0,1.0
583,Manhattan,Entire home/apt,165,Private Room,2,1.0,1.0
585,Manhattan,Entire home/apt,331,Entire Unit,2,1.0,2.0
587,Manhattan,Entire home/apt,179,Entire Unit,2,1.0,1.0
588,Brooklyn,Entire home/apt,149,Entire Unit,3,1.0,1.0
589,Brooklyn,Private room,100,Private Room,2,1.0,1.5
591,Brooklyn,Entire home/apt,128,Entire Unit,2,1.0,1.0
592,Manhattan,Entire home/apt,249,Entire Unit,2,0.0,1.0
593,Brooklyn,Entire home/apt,300,Entire Unit,2,0.0,1.0
594,Manhattan,Entire home/apt,120,Entire Unit,2,0.0,1.0
596,Manhattan,Entire home/apt,199,Entire Unit,5,2.0,1.0
597,Manhattan,Entire home/apt,80,Entire Unit,2,1.0,1.0
601,Manhattan,Entire home/apt,136,Entire Unit,4,2.0,1.0
602,Manhattan,Entire home/apt,165,Entire Unit,2,1.0,1.0
607,Manhattan,Private room,80,Private Room,3,2.0,1.0
608,Queens,Private room,89,Private Room,2,1.0,1.0
610,Brooklyn,Entire home/apt,110,Entire Unit,2,1.0,1.0
612,Manhattan,Entire home/apt,200,Entire Unit,3,1.0,1.0
