,neighbourhood_group,room_type,price,property_type,accommodates,bedrooms,bathrooms
6557,Manhattan,Entire home/apt,120,Entire Unit,2,0.0,1.0
6559,Brooklyn,Entire home/apt,250,Entire Unit,3,3.0,2.0
6560,Manhattan,Entire home/apt,159,Entire Unit,3,2.0,1.0
6561,Manhattan,Entire home/apt,159,Entire Unit,3,2.0,1.0
6563,Manhattan,Private room,81,Private Room,2,1.0,1.0
6564,Manhattan,Entire home/apt,190,Entire Unit,2,1.0,1.0
6566,Manhattan,Entire home/apt,125,Entire Unit,2,0.0,1.0
6569,Manhattan,Entire home/apt,130,Entire Unit,2,1.0,1.0
6572,Manhattan,Entire home/apt,125,Entire Unit,2,1.0,1.0
6574,Manhattan,Private room,100,Private Room,1,1.0,1.0
6575,Staten Island,Entire home/apt,75,Entire Unit,2,0.0,1.0
6576,Manhattan,Entire home/apt,159,Entire Unit,3,2.0,1.0
6578,Brooklyn,Entire home/apt,99,Entire Unit,4,0.0,1.0
6579,Brooklyn,Private room,140,Private Room,2,1.0,1.0
6580,Brooklyn,Entire home/apt,200,Entire Unit,6,4.0,2.5
6583,Brooklyn,Private room,35,Private Room,2,1.0,1.0
6584,Manhattan,Entire home/apt,200,Entire Unit,2,0.0,1.0
6586,Brooklyn,Entire home/apt,98,Entire Unit,3,0.0,1.0
6588,Brooklyn,Entire home/apt,109,Entire Unit,4,2.0,1.0
6592,Brooklyn,Private room,54,Private Room,2,1.0,2.5
6593,Brooklyn,Private room,54,Private Room,2,1.0,1.0
6602,Brooklyn,Entire home/apt,139,Entire Unit,2,1.0,1.0
6606,Manhattan,Entire home/apt,133,Entire Unit,3,1.0,1.0
6608,Manhattan,Entire home/apt,142,Entire Unit,2,1.0,1.0
6612,Queens,Entire home/apt,95,Entire Unit,4,1.0,1.0
6616,Brooklyn,Entire home/apt,175,Entire Unit,4,2.0,1.0
6619,Manhattan,Private room,75,Private Room,1,1.0,1.0
6621,Manhattan,Entire home/apt,239,Entire Unit,3,1.0,1.0
6624,Manhattan,Private room,75,Private Room,2,1.0,1.0
6626,Brooklyn,Entire home/apt,99,Entire Unit,2,1.0,1.0
6627,Manhattan,Private room,70,Private Room,1,1.0,1.0
6632,Brooklyn,Entire home/apt,119,Entire Unit,2,1.0,1.0
6633,Brooklyn,Entire home/apt,105,Entire Unit,2,0.0,1.0
6641,Brooklyn,Entire home/apt,150,Entire Unit,2,1.0,1.0
6648,Manhattan,Entire home/apt,148,Entire Unit,4,1.0,1.0
6650,Queens,Private room,95,Private Room,3,1.0,1.0
6656,Brooklyn,Private room,85,Private Room,2,1.0,1.0
6658,Manhattan,Entire home/apt,117,Entire Unit,2,0.0,1.0
6662,Queens,Entire home/apt,150,Entire Unit,5,2.0,1.0
6667,Brooklyn,Entire home/apt,121,Entire Unit,3,1.0,1.0
6669,Brooklyn,Private room,109,Private Room,5,1.0,3.0
6671,Manhattan,Entire home/apt,239,Entire Unit,3,1.0,1.0
6672,Manhattan,Entire home/apt,239,Entire Unit,3,1.0,1.0
6673,Manhattan,Entire home/apt,239,Entire Unit,3,1.0,1.0
6677,Manhattan,Entire home/apt,200,Entire Unit,3,0.0,1.0
6680,Manhattan,Private room,125,Private Room,2,1.0,1.0
6683,Manhattan,Entire home/apt,120,Entire Unit,3,1.0,1.0
6684,Brooklyn,Entire home/apt,105,Entire Unit,3,1.0,1.0
6685,Brooklyn,Entire home/apt,180,Entire Unit,2,2.0,1.0
6688,Manhattan,Private room,52,Private Room,1,1.0,1.0
6693,Queens,Private room,73,Private Room,2,1.0,2.0
6697,Manhattan,Entire home/apt,150,Entire Unit,2,1.0,1.0
6698,Manhattan,Entire home/apt,325,Entire Unit,5,2.0,1.5
6699,Queens,Entire home/apt,79,Entire Unit,2,0.0,1.0
6705,Brooklyn,Private room,35,Private Room,2,1.0,1.0
6709,Manhattan,Entire home/apt,239,Entire Unit,3,1.0,1.0
6711,Manhattan,Entire home/apt,239,Entire Unit,3,1.0,1.0
6713,Brooklyn,Entire home/apt,169,Entire Unit,2,1.0,1.0
6715,Manhattan,Entire home/apt,239,Entire Unit,3,1.0,1.0
6718,Manhattan,Entire home/apt,125,Entire Unit,2,1.0,1.0
6719,Brooklyn,Entire home/apt,81,Entire Unit,2,1.0,1.0
6725,Manhattan,Private room,82,Private Room,2,1.0,1.0
6728,Manhattan,Entire home/apt,99,Entire Unit,2,1.0,1.0
6730,Manhattan,Entire home/apt,300,Entire Unit,4,2.0,2.0
6731,Manhattan,Private room,99,Private Room,5,1.0,1.0
6736,Brooklyn,Entire home/apt,135,Entire Unit,2,1.0,1.0
6738,Brooklyn,Private room,100,Private Room,2,1.0,1.0
6741,Brooklyn,Private room,60,Private Room,2,1.0,1.0
6742,Manhattan,Private room,250,Private Room,2,1.0,1.0
6745,Manhattan,Private room,110,Private Room,2,1.0,1.0
6748,Manhattan,Private room,85,Private Room,1,1.0,1.0
6754,Manhattan,Private room,90,Private Room,2,1.0,1.0
6755,Queens,Entire home/apt,299,Entire Unit,6,3.0,2.5
6761,Queens,Private room,95,Entire Unit,3,1.0,1.0
6764,Brooklyn,Entire home/apt,215,Entire Unit,6,2.0,1.0
6773,Manhattan,Entire home/apt,109,Entire Unit,2,0.0,1.0
6777,Brooklyn,Entire home/apt,87,Entire Unit,2,1.0,1.0
6779,Manhattan,Entire home/apt,125,Entire Unit,3,1.0,1.0
6781,Manhattan,Entire home/apt,159,Entire Unit,3,2.0,1.0
6782,Manhattan,Entire home/apt,150,Entire Unit,2,1.0,1.0
6785,Brooklyn,Entire home/apt,140,Entire Unit,4,1.0,1.0
6793,Brooklyn,Entire home/apt,61,Entire Unit,4,2.0,1.0
6795,Manhattan,Entire home/apt,239,Entire Unit,4,0.0,1.0
6799,Brooklyn,Entire home/apt,205,Entire Unit,4,2.0,1.5
6800,Brooklyn,Private room,45,Private Room,2,1.0,1.0
6801,Manhattan,Entire home/apt,139,Entire Unit,2,1.0,1.0
6804,Brooklyn,Entire home/apt,199,Entire Unit,3,1.0,1.0
6813,Brooklyn,Entire home/apt,132,Entire Unit,2,1.0,1.0
6820,Brooklyn,Entire home/apt,140,Entire Unit,6,4.0,1.0
6821,Brooklyn,Entire home/apt,170,Entire Unit,2,1.0,1.0
6823,Manhattan,Private room,94,Private Room,1,1.0,1.0
6826,Brooklyn,Private room,55,Private Room,2,2.0,2.0
6829,Queens,Private room,40,Private Room,2,1.0,2.0
6830,Brooklyn,Private room,48,Private Room,2,1.0,3.0
6832,Queens,Private room,40,Private Room,2,1.0,1.0
6834,Brooklyn,Entire home/apt,325,Entire Unit,4,2.0,2.5
6835,Manhattan,Private room,89,Private Room,1,1.0,1.0
6836,Queens,Entire home/apt,59,Entire Unit,4,1.0,1.0
6837,Manhattan,Private room,50,Private Room,1,1.0,1.0
6843,Queens,Entire home/apt,215,Entire Unit,5,3.0,1.0
6844,Manhattan,Entire home/apt,175,Entire Unit,3,1.0,1.0
6845,Manhattan,Entire home/apt,140,Entire Unit,2,0.0,1.0
6851,Manhattan,Entire home/apt,96,Entire Unit,3,0.0,1.0
6855,Queens,Private room,70,Private Room,1,1.0,1.0
6862,Manhattan,Entire home/apt,150,Entire Unit,4,1.0,1.0
6863,Brooklyn,Entire home/apt,60,Entire Unit,3,1.0,1.0
6864,Brooklyn,Entire home/apt,170,Entire Unit,4,1.0,1.0
6866,Brooklyn,Private room,55,Private Room,2,1.0,1.0
6869,Manhattan,Entire home/apt,148,Entire Unit,6,1.0,1.0
6877,Queens,Private room,65,Private Room,3,1.0,1.0
6882,Manhattan,Entire home/apt,190,Entire Unit,2,0.0,1.0
6884,Bronx,Entire home/apt,104,Entire Unit,6,2.0,1.0
6888,Brooklyn,Entire home/apt,100,Private Room,2,0.0,1.0
6890,Manhattan,Private room,90,Private Room,2,1.0,1.5
6895,Manhattan,Entire home/apt,180,Entire Unit,4,2.0,1.0
6896,Manhattan,Entire home/apt,225,Entire Unit,4,1.0,1.0
6904,Manhattan,Private room,98,Private Room,2,1.0,1.0
6907,Manhattan,Private room,60,Private Room,1,1.0,1.0
6913,Manhattan,Entire home/apt,200,Entire Unit,3,1.0,1.0
6915,Brooklyn,Private room,65,Private Room,2,1.0,1.0
6918,Queens,Entire home/apt,99,Private Room,2,1.0,1.0
6919,Manhattan,Entire home/apt,120,Entire Unit,5,3.0,1.0
6920,Manhattan,Entire home/apt,235,Entire Unit,6,3.0,1.5
6921,Manhattan,Entire home/apt,275,Entire Unit,4,4.0,2.0
6923,Manhattan,Entire home/apt,135,Entire Unit,4,2.0,1.0
6925,Brooklyn,Entire home/apt,75,Entire Unit,1,1.0,1.0
6927,Manhattan,Shared room,39,Shared Room,1,1.0,1.0
6929,Manhattan,Entire home/apt,110,Entire Unit,4,1.0,1.0
6930,Brooklyn,Entire home/apt,150,Private Room,2,1.0,1.0
6932,Queens,Entire home/apt,175,Entire Unit,6,3.0,1.0
6942,Manhattan,Private room,100,Private Room,1,1.0,1.0
6943,Manhattan,Private room,73,Private Room,2,1.0,1.0
6948,Queens,Private room,80,Private Room,2,1.0,1.0
6951,Brooklyn,Private room,45,Private Room,2,1.0,1.0
6958,Queens,Private room,40,Private Room,2,1.0,2.0
6960,Queens,Private room,40,Private Room,2,1.0,2.0
6961,Queens,Private room,50,Private Room,2,1.0,2.0
6963,Brooklyn,Private room,47,Private Room,2,1.0,1.0
6964,Manhattan,Entire home/apt,184,Entire Unit,4,2.0,1.0
6973,Manhattan,Private room,50,Private Room,2,1.0,1.0
6979,Brooklyn,Private room,40,Private Room,2,1.0,1.0
6982,Queens,Entire home/apt,79,Entire Unit,2,1.0,1.0
6985,Queens,Private room,85,Private Room,2,0.0,1.0
6987,Brooklyn,Private room,50,Private Room,2,1.0,1.0
6994,Manhattan,Entire home/apt,140,Entire Unit,4,0.0,1.0
6996,Manhattan,Private room,105,Private Room,1,2.0,1.5
6999,Manhattan,Private room,51,Private Room,2,1.0,1.0
7002,Brooklyn,Entire home/apt,225,Entire Unit,3,2.0,1.0
7003,Brooklyn,Entire home/apt,175,Entire Unit,4,2.0,1.0
7004,Queens,Entire home/apt,260,Entire Unit,3,1.0,1.0
7005,Brooklyn,Entire home/apt,225,Entire Unit,4,2.0,1.5
7006,Brooklyn,Entire home/apt,135,Entire Unit,2,1.0,1.0
7010,Manhattan,Entire home/apt,177,Entire Unit,2,0.0,1.0
