,neighbourhood_group,room_type,property_type,accommodates,bedrooms,bathrooms,log_price
0,Manhattan,Entire home/apt,Entire Unit,1,0.0,1.0,5.41610040220442
2,Manhattan,Private room,Private Room,2,1.0,1.0,4.3694478524670215
4,Brooklyn,Private room,Private Room,2,1.0,1.5,4.48863636973214
5,Brooklyn,Entire home/apt,Entire Unit,3,0.0,1.0,4.941642422609304
6,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.3706380281276624
8,Brooklyn,Entire home/apt,Entire Unit,5,1.0,1.0,4.787491742782046
9,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,5.0106352940962555
10,Manhattan,Private room,Private Room,2,1.0,1.0,3.9512437185814275
11,Brooklyn,Private room,Private Room,3,1.0,1.0,4.248495242049359
12,Brooklyn,Private room,Private Room,2,1.0,1.0,4.48863636973214
13,Brooklyn,Private room,Private Room,1,1.0,1.0,5.0106352940962555
14,Manhattan,Private room,Private Room,2,1.0,1.0,4.219507705176107
15,Queens,Private room,Private Room,4,1.0,1.0,4.867534450455582
16,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.700480365792417
17,Brooklyn,Private room,Private Room,2,1.0,1.0,4.382026634673881
18,Brooklyn,Entire home/apt,Entire Unit,2,2.0,1.0,5.429345628954441
19,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.969813299576001
20,Manhattan,Entire home/apt,Entire Unit,3,1.0,1.0,5.19295685089021
21,Brooklyn,Private room,Private Room,1,1.0,1.0,4.382026634673881
23,Brooklyn,Entire home/apt,Entire Unit,4,4.0,2.0,5.298317366548036
24,Manhattan,Private room,Private Room,2,1.0,1.0,4.382026634673881
25,Manhattan,Private room,Private Room,1,1.0,1.0,4.59511985013459
27,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.438079308923196
28,Manhattan,Private room,Private Room,2,1.0,1.0,4.174387269895637
29,Manhattan,Private room,Private Room,2,2.0,1.0,5.298317366548036
30,Manhattan,Private room,Private Room,3,1.0,1.5,5.0106352940962555
31,Manhattan,Entire home/apt,Entire Unit,2,2.0,1.0,4.700480365792417
32,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.653960350157523
34,Manhattan,Entire home/apt,Private Room,2,1.0,1.0,4.941642422609304
35,Manhattan,Private room,Private Room,1,1.0,1.0,4.48863636973214
36,Manhattan,Private room,Private Room,2,1.0,1.0,4.584967478670572
37,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.1647859739235145
39,Brooklyn,Entire home/apt,Entire Unit,5,4.0,3.0,5.393627546352362
40,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.382026634673881
41,Manhattan,Private room,Private Room,2,1.0,1.0,4.605170185988092
42,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.787491742782046
43,Manhattan,Entire home/apt,Entire Unit,6,1.0,1.0,5.135798437050262
45,Manhattan,Entire home/apt,Entire Unit,4,1.0,1.0,5.0106352940962555
46,Brooklyn,Private room,Private Room,2,1.0,1.0,4.248495242049359
47,Brooklyn,Private room,Private Room,2,1.0,1.0,4.48863636973214
48,Manhattan,Entire home/apt,Entire Unit,3,1.0,1.0,5.220355825078324
49,Manhattan,Private room,Private Room,1,1.0,1.0,4.867534450455582
50,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,4.74493212836325
51,Brooklyn,Private room,Private Room,2,3.0,1.0,4.343805421853684
52,Brooklyn,Private room,Private Room,2,1.0,1.0,4.330733340286331
53,Brooklyn,Private room,Private Room,3,1.0,1.5,4.90527477843843
54,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.272999558563747
55,Manhattan,Private room,Private Room,2,1.0,1.0,4.23410650459726
56,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.41610040220442
57,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.8283137373023015
59,Brooklyn,Private room,Private Room,2,1.0,1.0,4.23410650459726
60,Queens,Private room,Private Room,1,1.0,1.0,4.3694478524670215
61,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.90527477843843
62,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.10594547390058
63,Staten Island,Private room,Private Room,2,1.0,1.0,4.248495242049359
64,Brooklyn,Private room,Private Room,2,1.0,1.0,4.700480365792417
68,Manhattan,Private room,Private Room,2,1.0,1.0,4.59511985013459
69,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.0106352940962555
70,Brooklyn,Private room,Private Room,2,1.0,1.0,4.787491742782046
71,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.90527477843843
73,Queens,Entire home/apt,Entire Unit,4,1.0,1.0,4.584967478670572
74,Queens,Private room,Entire Unit,7,2.0,1.0,4.941642422609304
76,Manhattan,Private room,Private Room,2,1.0,1.0,5.298317366548036
77,Brooklyn,Private room,Private Room,2,1.0,2.0,4.605170185988092
78,Manhattan,Private room,Private Room,2,1.0,1.0,4.605170185988092
79,Brooklyn,Private room,Private Room,1,1.0,1.0,4.23410650459726
81,Manhattan,Private room,Private Room,2,1.0,1.0,4.1588830833596715
82,Queens,Entire home/apt,Entire Unit,2,1.0,1.0,4.941642422609304
83,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,5.0689042022202315
84,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.521460917862246
85,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.720311776607412
86,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.043425116919247
87,Manhattan,Private room,Private Room,2,1.0,1.5,4.0943445622221
88,Brooklyn,Private room,Private Room,4,2.0,1.0,4.90527477843843
89,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.0106352940962555
91,Manhattan,Entire home/apt,Entire Unit,5,2.0,1.0,5.521460917862246
93,Manhattan,Entire home/apt,Entire Unit,3,1.0,1.0,5.41610040220442
94,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.8283137373023015
95,Manhattan,Private room,Private Room,2,1.0,1.5,4.5217885770490405
96,Manhattan,Private room,Private Room,2,1.0,1.0,5.1647859739235145
97,Manhattan,Entire home/apt,Entire Unit,6,1.0,1.0,4.59511985013459
99,Manhattan,Entire home/apt,Entire Unit,3,1.0,1.0,4.700480365792417
100,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.867534450455582
101,Brooklyn,Entire home/apt,Entire Unit,4,2.0,2.0,5.652489180268651
102,Bronx,Private room,Private Room,3,1.0,1.0,4.499809670330265
103,Bronx,Entire home/apt,Entire Unit,2,1.0,1.0,4.653960350157523
104,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.90527477843843
107,Brooklyn,Private room,Private Room,2,1.0,1.0,4.605170185988092
109,Brooklyn,Private room,Private Room,3,1.0,1.0,4.0943445622221
110,Manhattan,Private room,Private Room,2,1.0,1.0,4.219507705176107
111,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.867534450455582
112,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.553876891600541
113,Manhattan,Private room,Private Room,1,1.0,1.0,4.31748811353631
114,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,5.247024072160486
115,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,5.356586274672012
116,Manhattan,Private room,Entire Unit,7,2.0,1.0,4.553876891600541
117,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.0106352940962555
118,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.247024072160486
119,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.820281565605037
120,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.90527477843843
121,Manhattan,Private room,Private Room,2,1.0,1.0,4.804021044733257
122,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.272999558563747
123,Brooklyn,Private room,Private Room,2,1.0,1.0,4.8283137373023015
125,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.0106352940962555
126,Manhattan,Entire home/apt,Entire Unit,5,2.0,1.0,5.521460917862246
127,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.8283137373023015
128,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.298317366548036
129,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.43372200355424
130,Bronx,Entire home/apt,Entire Unit,2,1.0,1.0,4.499809670330265
132,Brooklyn,Private room,Private Room,1,1.0,1.0,4.07753744390572
133,Manhattan,Entire home/apt,Entire Unit,3,1.0,1.0,4.727387818712341
134,Queens,Entire home/apt,Entire Unit,4,1.0,1.0,4.74493212836325
136,Manhattan,Entire home/apt,Entire Unit,3,1.0,1.0,5.0106352940962555
137,Brooklyn,Private room,Room In,2,1.0,1.0,5.187385805840755
138,Manhattan,Private room,Private Room,2,1.0,1.0,4.2626798770413155
141,Brooklyn,Entire home/apt,Entire Unit,5,3.0,1.5,5.10594547390058
142,Brooklyn,Private room,Room In,4,1.0,1.0,5.517452896464707
143,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.1298987149230735
144,Brooklyn,Entire home/apt,Entire Unit,5,2.0,1.0,5.220355825078324
145,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.174387269895637
146,Brooklyn,Private room,Room In,2,1.0,1.0,5.187385805840755
147,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,4.499809670330265
148,Brooklyn,Entire home/apt,Entire Unit,5,2.0,1.0,4.787491742782046
149,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.605170185988092
150,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.5,4.787491742782046
151,Brooklyn,Entire home/apt,Entire Unit,6,2.0,1.0,5.298317366548036
152,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.867534450455582
153,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.867534450455582
155,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.247024072160486
157,Queens,Private room,Private Room,1,1.0,1.0,4.248495242049359
158,Manhattan,Private room,Private Room,1,1.0,1.5,4.0943445622221
159,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,5.1647859739235145
161,Brooklyn,Private room,Private Room,2,1.0,1.0,4.553876891600541
162,Brooklyn,Private room,Private Room,2,1.0,1.0,4.007333185232471
163,Manhattan,Private room,Private Room,1,1.0,1.0,4.174387269895637
164,Brooklyn,Entire home/apt,Entire Unit,2,2.0,1.0,4.700480365792417
165,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,5.298317366548036
166,Brooklyn,Entire home/apt,Entire Unit,4,2.0,2.0,5.10594547390058
167,Manhattan,Entire home/apt,Entire Unit,3,0.0,1.0,4.700480365792417
168,Brooklyn,Private room,Private Room,2,1.0,1.0,4.59511985013459
171,Brooklyn,Entire home/apt,Entire Unit,4,2.0,0.0,5.560681631015528
172,Queens,Entire home/apt,Entire Unit,3,1.0,1.0,4.574710978503383
173,Manhattan,Private room,Private Room,1,1.0,1.0,4.867534450455582
174,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.41610040220442
175,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,5.135798437050262
176,Brooklyn,Entire home/apt,Entire Unit,5,3.0,2.5,5.521460917862246
177,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.1588830833596715
178,Brooklyn,Entire home/apt,Entire Unit,4,0.0,1.0,5.517452896464707
179,Manhattan,Entire home/apt,Entire Unit,2,2.0,0.0,5.220355825078324
180,Brooklyn,Entire home/apt,Entire Unit,4,0.0,1.0,4.787491742782046
183,Manhattan,Entire home/apt,Entire Unit,5,2.0,1.0,5.556828061699537
187,Manhattan,Entire home/apt,Entire Unit,3,2.0,1.0,5.10594547390058
190,Queens,Entire home/apt,Entire Unit,3,2.0,1.0,4.859812404361672
191,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.0106352940962555
193,Manhattan,Private room,Private Room,2,1.0,1.0,5.1647859739235145
194,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.276666119016055
195,Brooklyn,Private room,Private Room,2,1.0,1.0,5.10594547390058
196,Brooklyn,Private room,Private Room,3,1.0,1.0,4.477336814478207
197,Brooklyn,Private room,Private Room,2,1.0,1.0,4.382026634673881
200,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.867534450455582
201,Manhattan,Entire home/apt,Entire Unit,5,1.0,1.0,4.59511985013459
202,Manhattan,Entire home/apt,Entire Unit,6,2.0,1.0,5.521460917862246
205,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.653960350157523
206,Bronx,Private room,Private Room,2,1.0,1.0,3.6109179126442243
207,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.442651256490317
210,Brooklyn,Private room,Private Room,2,1.0,1.5,4.442651256490317
211,Brooklyn,Private room,Private Room,2,1.0,1.0,4.51085950651685
214,Manhattan,Entire home/apt,Private Room,2,1.0,1.0,5.241747015059643
215,Manhattan,Entire home/apt,Entire Unit,6,2.0,1.0,5.703782474656201
216,Manhattan,Entire home/apt,Entire Unit,3,0.0,1.0,4.787491742782046
217,Bronx,Entire home/apt,Entire Unit,5,1.0,1.0,4.8283137373023015
218,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.59511985013459
221,Manhattan,Private room,Private Room,2,1.0,1.0,4.59511985013459
222,Manhattan,Private room,Private Room,2,1.0,1.0,5.541263545158426
224,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.59511985013459
225,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.3706380281276624
226,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.867534450455582
227,Manhattan,Private room,Private Room,2,1.0,1.5,3.912023005428146
228,Brooklyn,Private room,Private Room,2,1.0,1.0,4.653960350157523
229,Brooklyn,Entire home/apt,Entire Unit,2,2.0,1.0,4.59511985013459
230,Brooklyn,Private room,Private Room,2,1.0,1.0,4.605170185988092
232,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.075173815233827
233,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.247024072160486
237,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.976733742420574
238,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.787491742782046
240,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.272999558563747
242,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,4.976733742420574
243,Queens,Private room,Private Room,2,1.0,1.0,3.912023005428146
244,Manhattan,Private room,Private Room,1,2.0,1.0,4.382026634673881
247,Staten Island,Private room,Entire Unit,3,1.0,1.0,4.382026634673881
248,Manhattan,Private room,Private Room,1,1.0,1.0,4.382026634673881
249,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.700480365792417
250,Manhattan,Private room,Private Room,1,1.0,1.0,4.605170185988092
252,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.293304824724492
253,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.0106352940962555
254,Manhattan,Private room,Private Room,2,1.0,1.0,4.23410650459726
255,Staten Island,Entire home/apt,Entire Unit,3,1.0,1.0,4.31748811353631
256,Brooklyn,Entire home/apt,Entire Unit,5,2.0,1.0,5.393627546352362
257,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,4.382026634673881
258,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.90527477843843
259,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.605170185988092
260,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.90527477843843
261,Brooklyn,Entire home/apt,Entire Unit,2,0.0,1.0,4.700480365792417
262,Queens,Private room,Private Room,2,1.0,1.0,4.007333185232471
264,Manhattan,Private room,Private Room,3,1.0,1.0,4.867534450455582
265,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.247024072160486
266,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.298317366548036
267,Brooklyn,Entire home/apt,Entire Unit,1,1.0,1.0,5.19295685089021
268,Queens,Entire home/apt,Entire Unit,1,1.0,1.0,4.31748811353631
271,Bronx,Private room,Private Room,3,1.0,1.0,3.7376696182833684
272,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.19295685089021
274,Queens,Entire home/apt,Entire Unit,2,1.0,1.0,4.3694478524670215
275,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
277,Manhattan,Private room,Private Room,1,1.0,1.0,4.8283137373023015
278,Brooklyn,Private room,Private Room,1,1.0,1.0,4.605170185988092
280,Manhattan,Private room,Private Room,2,1.0,1.0,4.8283137373023015
282,Manhattan,Private room,Private Room,1,2.0,2.0,4.941642422609304
283,Brooklyn,Entire home/apt,Entire Unit,5,2.0,2.0,4.564348191467836
284,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
285,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
286,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
287,Manhattan,Entire home/apt,Private Room,2,1.0,1.0,5.220355825078324
288,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
289,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
290,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
291,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
292,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
294,Brooklyn,Private room,Room In,4,1.0,1.0,5.517452896464707
295,Brooklyn,Private room,Room In,4,1.0,1.0,5.700443573390687
296,Brooklyn,Private room,Room In,2,1.0,1.0,5.187385805840755
299,Brooklyn,Private room,Private Room,2,2.0,2.0,4.48863636973214
300,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,5.135798437050262
302,Brooklyn,Entire home/apt,Entire Unit,3,2.0,1.0,4.8283137373023015
303,Manhattan,Entire home/apt,Entire Unit,3,1.0,1.0,5.783825182329737
310,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.5217885770490405
311,Manhattan,Private room,Private Room,2,1.0,1.0,4.382026634673881
312,Manhattan,Entire home/apt,Entire Unit,4,2.0,1.0,5.703782474656201
313,Brooklyn,Entire home/apt,Entire Unit,4,3.0,1.0,4.976733742420574
315,Brooklyn,Private room,Private Room,2,1.0,1.0,4.59511985013459
318,Manhattan,Entire home/apt,Entire Unit,4,2.0,1.0,5.272999558563747
320,Brooklyn,Private room,Private Room,2,1.0,1.0,4.0943445622221
323,Brooklyn,Private room,Entire Unit,1,1.0,1.0,3.912023005428146
324,Queens,Private room,Private Room,2,1.0,1.0,4.564348191467836
325,Brooklyn,Private room,Private Room,2,1.0,1.0,3.8066624897703196
326,Queens,Private room,Private Room,2,1.0,1.0,4.442651256490317
327,Brooklyn,Private room,Private Room,1,1.0,1.0,3.5263605246161616
328,Manhattan,Entire home/apt,Entire Unit,4,1.0,1.0,5.521460917862246
329,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.8283137373023015
330,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.02535169073515
331,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.700443573390687
332,Manhattan,Private room,Private Room,2,1.0,1.0,4.59511985013459
333,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.700480365792417
334,Manhattan,Entire home/apt,Entire Unit,1,0.0,1.0,4.700480365792417
335,Brooklyn,Entire home/apt,Entire Unit,5,2.0,1.0,5.10594547390058
338,Manhattan,Private room,Private Room,2,1.0,1.0,3.912023005428146
344,Manhattan,Private room,Private Room,2,1.0,0.0,4.867534450455582
346,Brooklyn,Private room,Private Room,6,4.0,1.0,4.8283137373023015
348,Brooklyn,Entire home/apt,Entire Unit,2,0.0,1.0,4.700480365792417
350,Brooklyn,Entire home/apt,Entire Unit,6,2.0,1.0,4.605170185988092
351,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.10594547390058
352,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,5.616771097666572
356,Manhattan,Entire home/apt,Entire Unit,3,1.0,1.0,5.293304824724492
358,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
359,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
361,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
362,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
363,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.293304824724492
365,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.703782474656201
366,Queens,Private room,Private Room,1,1.0,0.0,4.007333185232471
370,Brooklyn,Entire home/apt,Entire Unit,7,3.0,2.0,4.605170185988092
372,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,5.19295685089021
373,Brooklyn,Private room,Private Room,4,1.0,1.0,4.174387269895637
374,Brooklyn,Private room,Private Room,2,1.0,1.0,4.31748811353631
375,Queens,Private room,Private Room,2,2.0,1.0,3.9512437185814275
376,Manhattan,Private room,Private Room,2,1.0,1.0,4.48863636973214
377,Manhattan,Private room,Private Room,1,1.0,1.0,4.700480365792417
380,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,4.74493212836325
383,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.389071729816501
384,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.0689042022202315
385,Manhattan,Entire home/apt,Entire Unit,4,2.0,2.0,5.700443573390687
386,Brooklyn,Entire home/apt,Entire Unit,6,2.0,1.0,5.10594547390058
387,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.521460917862246
388,Manhattan,Private room,Private Room,1,1.0,1.0,4.31748811353631
390,Manhattan,Private room,Private Room,2,1.0,1.0,4.382026634673881
391,Manhattan,Private room,Private Room,2,1.0,1.0,4.31748811353631
392,Manhattan,Private room,Private Room,2,1.0,1.0,4.553876891600541
393,Manhattan,Private room,Private Room,2,1.0,1.0,4.48863636973214
395,Brooklyn,Entire home/apt,Entire Unit,2,2.0,1.0,5.181783550292085
396,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.579729825986222
397,Brooklyn,Private room,Private Room,2,1.0,1.0,4.343805421853684
398,Manhattan,Entire home/apt,Private Room,2,1.0,1.0,4.859812404361672
399,Brooklyn,Private room,Private Room,2,1.0,1.0,4.5217885770490405
401,Brooklyn,Private room,Private Room,1,2.0,1.0,4.787491742782046
402,Brooklyn,Private room,Private Room,2,1.0,1.0,4.859812404361672
403,Manhattan,Entire home/apt,Entire Unit,4,2.0,1.0,5.298317366548036
404,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.8283137373023015
406,Manhattan,Private room,Private Room,3,1.0,1.0,5.075173815233827
407,Manhattan,Private room,Private Room,4,1.0,1.0,5.19295685089021
409,Bronx,Entire home/apt,Entire Unit,5,2.0,1.0,4.787491742782046
410,Manhattan,Private room,Private Room,1,1.0,1.0,4.653960350157523
412,Manhattan,Private room,Private Room,2,2.0,2.0,4.59511985013459
415,Brooklyn,Private room,Private Room,1,1.0,1.0,3.8066624897703196
416,Queens,Private room,Private Room,2,1.0,2.0,4.31748811353631
417,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,4.90527477843843
418,Manhattan,Private room,Private Room,1,1.0,1.0,4.8283137373023015
420,Manhattan,Private room,Entire Unit,2,2.0,1.0,4.499809670330265
422,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.477336814478207
423,Queens,Entire home/apt,Entire Unit,5,1.0,1.0,5.3706380281276624
424,Brooklyn,Private room,Private Room,2,1.0,1.0,4.31748811353631
426,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.43372200355424
427,Brooklyn,Entire home/apt,Entire Unit,5,2.0,1.0,5.703782474656201
428,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.31748811353631
429,Brooklyn,Entire home/apt,Entire Unit,6,3.0,1.0,5.075173815233827
430,Brooklyn,Private room,Private Room,2,1.0,1.0,4.77912349311153
432,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.465908118654584
433,Brooklyn,Entire home/apt,Entire Unit,6,2.0,1.0,5.075173815233827
434,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.499809670330265
436,Brooklyn,Private room,Private Room,1,1.0,1.0,4.007333185232471
439,Manhattan,Entire home/apt,Entire Unit,5,2.0,1.0,5.616771097666572
441,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.8283137373023015
442,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.0106352940962555
443,Brooklyn,Entire home/apt,Entire Unit,3,2.0,1.0,4.653960350157523
445,Brooklyn,Entire home/apt,Entire Unit,2,2.0,1.0,5.0106352940962555
446,Brooklyn,Entire home/apt,Entire Unit,5,4.0,2.0,5.700443573390687
447,Queens,Entire home/apt,Entire Unit,5,1.0,1.0,4.343805421853684
450,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.5,5.241747015059643
451,Bronx,Private room,Private Room,1,1.0,1.0,3.8918202981106265
452,Manhattan,Private room,Private Room,1,1.0,1.0,4.605170185988092
453,Queens,Private room,Private Room,2,1.0,1.0,4.31748811353631
454,Queens,Private room,Private Room,2,1.0,1.0,4.23410650459726
455,Brooklyn,Private room,Private Room,2,1.0,1.0,4.382026634673881
456,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.521460917862246
458,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.955827057601261
459,Brooklyn,Private room,Private Room,2,1.0,1.0,4.248495242049359
460,Manhattan,Entire home/apt,Entire Unit,3,2.0,1.0,5.41610040220442
463,Manhattan,Entire home/apt,Entire Unit,2,2.0,1.0,4.59511985013459
464,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,3.912023005428146
467,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.159055299214529
472,Brooklyn,Entire home/apt,Entire Unit,7,3.0,1.0,5.521460917862246
474,Brooklyn,Entire home/apt,Entire Unit,5,2.0,1.0,5.459585514144159
475,Brooklyn,Entire home/apt,Entire Unit,3,2.0,1.0,4.605170185988092
476,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.739792912179234
477,Queens,Shared room,Shared Room,3,1.0,1.0,3.6635616461296463
478,Manhattan,Private room,Private Room,2,1.0,1.0,4.605170185988092
480,Manhattan,Private room,Private Room,2,1.0,1.0,4.48863636973214
483,Brooklyn,Private room,Private Room,4,1.0,1.0,4.700480365792417
486,Manhattan,Private room,Private Room,2,1.0,1.5,4.442651256490317
487,Manhattan,Private room,Private Room,2,1.0,1.0,4.382026634673881
490,Queens,Private room,Entire Unit,1,1.0,1.0,4.382026634673881
491,Brooklyn,Private room,Private Room,2,1.0,1.0,4.007333185232471
492,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.955827057601261
494,Brooklyn,Entire home/apt,Entire Unit,7,3.0,2.5,5.703782474656201
495,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.653960350157523
497,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.59511985013459
498,Brooklyn,Private room,Private Room,2,1.0,1.0,4.624972813284271
499,Brooklyn,Entire home/apt,Entire Unit,5,3.0,2.0,5.393627546352362
502,Queens,Private room,Private Room,2,1.0,1.0,4.442651256490317
