,neighbourhood_group,room_type,property_type,accommodates,bedrooms,bathrooms,log_price
12343,Brooklyn,Private room,Private Room,1,1.0,1.5,4.174387269895637
12347,Manhattan,Private room,Private Room,2,1.0,1.0,4.442651256490317
12352,Manhattan,Private room,Private Room,2,1.0,1.0,4.31748811353631
12354,Bronx,Entire home/apt,Entire Unit,4,1.0,1.5,5.272999558563747
12355,Manhattan,Entire home/apt,Entire Unit,6,2.0,2.0,4.59511985013459
12356,Brooklyn,Entire home/apt,Entire Unit,6,2.0,1.0,4.68213122712422
12357,Manhattan,Entire home/apt,Entire Unit,5,1.0,1.0,5.594711379601839
12358,Bronx,Entire home/apt,Entire Unit,4,0.0,1.0,4.382026634673881
12359,Brooklyn,Private room,Private Room,2,1.0,1.0,4.110873864173311
12360,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.298317366548036
12361,Queens,Private room,Private Room,1,1.0,1.0,4.174387269895637
12364,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,5.075173815233827
12367,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,4.976733742420574
12368,Manhattan,Private room,Private Room,2,1.0,1.0,4.442651256490317
12370,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.90527477843843
12371,Brooklyn,Private room,Private Room,1,1.0,1.0,3.871201010907891
12372,Manhattan,Shared room,Shared Room,1,1.0,0.0,5.10594547390058
12373,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.553876891600541
12374,Brooklyn,Entire home/apt,Entire Unit,5,3.0,2.0,4.941642422609304
12377,Queens,Private room,Private Room,2,1.0,1.0,4.0943445622221
12378,Brooklyn,Private room,Entire Unit,2,2.0,1.0,4.0943445622221
12379,Brooklyn,Entire home/apt,Entire Unit,6,2.0,1.0,5.298317366548036
12380,Brooklyn,Entire home/apt,Entire Unit,3,2.0,1.0,5.135798437050262
12381,Manhattan,Entire home/apt,Entire Unit,3,0.0,1.0,4.418840607796598
12382,Queens,Private room,Private Room,1,1.0,1.0,4.700480365792417
12383,Bronx,Entire home/apt,Entire Unit,1,1.0,1.0,4.0943445622221
12388,Brooklyn,Private room,Private Room,2,1.0,1.0,4.605170185988092
12389,Brooklyn,Private room,Private Room,1,1.0,1.0,4.31748811353631
12390,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.703782474656201
12391,Brooklyn,Private room,Private Room,2,1.0,1.0,4.605170185988092
12392,Queens,Private room,Private Room,2,1.0,1.0,4.248495242049359
