id,accommodates,bathrooms_text,bedrooms,beds
21365379,2,1 shared bath,1,1
21365714,4,1 bath,,1
21365786,1,1 shared bath,1,1
21366268,1,1 shared bath,1,1
21366948,4,1 bath,1,1
21367648,2,1 private bath,1,1
21368441,1,1 shared bath,1,1
21369060,2,1 private bath,1,1
21369232,2,1.5 shared baths,1,1
21369271,1,1 private bath,1,2
21378053,4,1 bath,1,2
21379577,1,1 shared bath,1,1
21380140,1,1 shared bath,1,1
21383288,5,1 bath,1,3
21384768,2,1 shared bath,1,1
21384941,2,1 bath,,2
21386117,2,1 shared bath,1,1
21386179,2,1 shared bath,1,1
21390251,4,1 bath,2,2
21392488,3,1 bath,1,2
21394596,1,1 shared bath,1,1
21397638,3,1 bath,1,2
21398613,4,1 bath,1,2
21399885,6,1 bath,2,2
21404524,8,1 bath,3,3
21405904,2,1.5 shared baths,1,1
21406998,2,1 private bath,1,1
21407514,3,1 bath,1,1
21410257,4,1.5 baths,2,2
21410794,1,1 bath,1,4
21411274,2,1 bath,,3
21413190,2,1 private bath,1,1
21413889,2,1 bath,,1
21421478,5,1.5 baths,2,2
21421657,2,1 bath,1,2
21422090,2,1 shared bath,1,1
21424914,2,1 bath,1,2
21427176,7,1 bath,2,4
21427369,5,1.5 baths,1,4
21428231,2,1 shared bath,1,2
21428791,2,1 shared bath,1,1
21429062,6,1.5 baths,2,4
21434692,2,1 bath,1,1
21435622,2,1 bath,1,1
21435800,4,1 bath,,1
21437509,2,1 private bath,1,1
21446922,1,1 shared bath,3,1
21447304,3,1 bath,1,2
21450176,4,1 shared bath,1,1
21458689,4,1 bath,2,2
21458972,4,1 bath,1,2
21460197,1,1 shared bath,1,1
21460249,2,1 bath,1,1
21461282,3,1 private bath,3,4
21461615,2,1 shared bath,1,2
21461874,2,1 shared bath,1,1
21462212,1,1 shared bath,1,1
21467493,2,1 shared bath,1,1
21468762,1,1 shared bath,1,1
21470099,1,1 shared bath,1,1
21471517,1,1 shared bath,1,1
21472364,2,1 bath,1,1
21473222,2,1 bath,1,1
21473314,1,1 shared bath,1,1
21473761,3,1 bath,1,2
21474497,2,1 bath,,1
21474885,2,1 shared bath,1,1
21477500,2,1 private bath,,2
21477816,3,1 shared bath,1,1
21481778,3,1 bath,1,1
21483857,3,1 bath,1,1
21484161,4,1 bath,1,1
21485026,1,1 shared bath,1,1
21487004,4,1 shared bath,1,1
21488608,2,1 bath,1,1
21490787,2,1 bath,1,2
21496794,2,1 shared bath,1,1
21499536,2,1 bath,1,1
21501507,2,1 bath,,1
21501622,2,1 private bath,1,1
21503589,2,1 private bath,1,2
21504818,4,1 bath,,2
21505197,2,1 bath,1,2
21512977,1,1.5 shared baths,1,1
21515092,2,1 shared bath,1,1
21515431,4,1 bath,1,1
21516275,4,1 bath,1,2
21517530,3,1 bath,1,3
21518467,6,1.5 baths,3,3
21518777,3,1 bath,2,1
21520497,4,1 bath,1,1
21524489,2,1 shared bath,1,1
21529148,2,1 bath,,1
21531023,3,1 bath,,2
21535750,4,1 bath,2,2
21539105,1,1 shared bath,1,1
21539835,3,1 bath,1,2
21540737,5,1 bath,2,3
21541423,2,1 bath,1,1
21546425,2,1 bath,1,1
21548325,1,1 shared bath,1,1
21549554,2,1 shared bath,1,1
21550193,4,1 bath,1,3
21550717,1,1 bath,,1
21551817,2,2 shared baths,1,1
21551829,2,1.5 shared baths,1,1
21558456,1,1 shared bath,1,1
21559636,2,1 bath,1,1
21560584,1,1 shared bath,1,1
21565682,3,1 bath,1,1
21566103,2,1 bath,1,1
21566887,2,1 private bath,1,2
21566909,4,1 bath,2,2
21568187,3,1 shared bath,1,1
21568341,2,1 shared bath,1,1
21569360,1,1 shared bath,3,1
21569763,2,1 shared bath,1,2
21570741,2,1 bath,1,1
21577526,2,1 shared bath,1,1
21577856,5,2 baths,3,3
21580765,1,1 shared bath,1,1
21581457,2,Private half-bath,1,1
21581545,3,1.5 shared baths,1,2
21582170,5,2 baths,1,2
21583199,4,1 bath,1,1
21583472,2,1 shared bath,1,1
21584047,2,1 shared bath,1,1
21588023,2,1 shared bath,1,1
21588805,2,1 bath,1,1
21589646,2,1 shared bath,1,1
21589780,4,1 bath,2,2
21591672,2,1 private bath,1,1
21592694,1,1 shared bath,1,1
21593310,2,1.5 shared baths,1,1
21595000,2,1 bath,,2
21596214,2,1 bath,1,1
21596559,2,1 shared bath,1,1
21608234,2,1 shared bath,1,1
21610552,2,1 private bath,1,1
21612043,2,1 shared bath,1,1
21618022,2,1 shared bath,1,1
21618858,1,1.5 baths,2,1
21619569,11,2 baths,3,5
21619743,3,1 bath,1,1
21620216,6,1 bath,2,2
21620322,3,2 shared baths,1,2
21620762,2,1 bath,1,1
21621154,2,1 shared bath,1,1
21621231,2,1 shared bath,1,1
21621926,1,1 shared bath,1,1
21622558,3,1 bath,1,1
21622909,1,1 shared bath,1,1
21630186,2,1 shared bath,1,1
21631882,2,1 shared bath,1,1
21632846,3,1 bath,1,2
21633631,2,1 bath,,2
21634030,2,1 shared bath,1,1
21635015,2,1 shared bath,1,1
21635603,2,1 bath,1,1
21638538,2,1 private bath,1,1
21640455,2,1 shared bath,1,1
21642874,3,1 bath,1,1
21642995,1,1 shared bath,1,1
21643550,2,1 shared bath,1,1
21646774,2,1.5 shared baths,1,1
21647076,2,1 bath,,1
21647527,4,1 bath,2,2
21647932,1,1 shared bath,1,1
21648513,3,1 bath,2,2
21649044,2,1 bath,1,1
21649172,1,1 bath,1,1
21649695,3,1 bath,1,1
21651270,4,1 bath,1,1
21652744,1,1 shared bath,1,1
21661235,2,1 shared bath,1,1
21664152,4,1 bath,1,2
21664533,2,3 shared baths,1,1
21664702,2,1 shared bath,1,1
21665632,4,2.5 baths,2,2
21665966,2,2 shared baths,1,1
21667120,6,1 bath,2,3
21667189,2,3 shared baths,1,1
21667615,3,1 bath,1,1
21673236,2,1 bath,1,1
21673998,2,1 shared bath,1,1
21674032,2,1 bath,1,1
21675338,1,1 bath,,1
21676677,2,1 bath,1,1
21677581,4,1 bath,1,2
21678477,2,1 shared bath,1,2
21680639,4,1 bath,2,3
21680914,2,1 private bath,1,1
21682816,1,1 shared bath,1,1
21683672,2,1 shared bath,1,1
21684019,2,1 bath,1,1
21689998,3,1 bath,2,3
21693657,2,2 baths,1,1
21694908,2,1 bath,1,2
21695292,2,1 bath,1,1
21695415,3,1 bath,1,1
21698180,2,1 shared bath,1,1
21700026,2,2 baths,1,1
21700378,1,1 bath,1,1
21700414,2,1 shared bath,1,1
21706896,2,1.5 baths,1,1
21709374,2,1 bath,1,1
21709727,7,2.5 baths,3,3
21712595,2,1 bath,,1
21713358,1,1 shared bath,1,1
21713419,4,2 baths,2,2
21713551,3,1 bath,1,1
21714930,8,2 baths,4,5
21715735,2,1 shared bath,1,1
21716772,1,1 shared bath,1,1
21723666,2,1 shared bath,1,1
21727418,2,1 shared bath,1,1
21727742,2,1 shared bath,1,1
21727923,4,1 bath,1,2
21728589,2,1 bath,,1
21728670,2,1 shared bath,1,1
21729245,2,1 bath,1,1
21730105,1,1 private bath,1,1
21730735,4,1.5 shared baths,1,2
21732716,2,1 shared bath,1,1
21733997,2,1 bath,1,1
21736059,2,1.5 shared baths,1,2
21736164,2,1 bath,1,1
21736598,3,1 bath,3,3
21737389,2,1.5 baths,1,1
21737409,2,1 bath,1,1
21737535,1,1 private bath,1,1
21738540,4,1 bath,1,2
21738886,4,1 bath,2,2
21740324,2,1 bath,1,1
21740756,1,1 shared bath,1,1
21741106,2,1 bath,1,1
21745569,1,1 shared bath,1,1
21746100,4,2 baths,2,2
21748242,2,1 bath,1,1
21750219,6,2 baths,2,2
21750553,1,1 shared bath,,1
21751275,2,1 bath,1,1
21752471,2,1 bath,,1
21752880,4,2 baths,2,2
21753773,2,1 shared bath,1,1
21754369,2,1 shared bath,,1
21754827,2,1 shared bath,1,1
21754946,1,1 shared bath,1,1
21755710,1,1 shared bath,1,1
21755954,2,1 shared bath,1,1
21756084,1,1 shared bath,1,1
21762776,4,1 bath,2,4
21762969,4,1 bath,1,4
21764245,1,1 shared bath,1,3
21764442,5,2 baths,2,4
21764778,3,1 bath,1,1
21765318,1,1 shared bath,1,3
21765895,3,2 shared baths,1,1
21766524,2,1 bath,1,1
21767672,3,1 bath,1,1
21768136,1,1 shared bath,1,1
21768850,5,1 bath,2,2
21769638,3,1 bath,2,2
21771006,5,2.5 baths,3,3
21771169,3,1 bath,1,2
21771454,4,1 bath,1,2
21771486,1,1 shared bath,1,1
21771881,2,1 bath,,2
21772083,3,1 bath,1,1
21774455,4,1 bath,1,2
21778446,4,1 private bath,,1
21780433,2,1 shared bath,1,1
21781859,4,1 bath,1,3
21783251,2,1 shared bath,2,2
21783298,1,1 bath,,1
21783724,4,1 bath,2,2
21784156,1,1 shared bath,1,1
21784437,2,1 shared bath,1,1
21785354,2,1 shared bath,1,1
21786337,3,1 shared bath,1,1
21786958,5,1 bath,3,4
21787094,6,2 baths,2,2
21788688,3,1 shared bath,2,2
21788734,1,1 shared bath,1,1
21789193,4,2 baths,2,2
21794374,3,1 bath,2,2
21798471,5,2 baths,2,2
21802923,1,1 shared bath,1,1
21804600,4,1 bath,2,2
21804666,2,1 shared bath,1,1
21809773,2,1 bath,1,1
21810960,16,2 baths,1,1
21811156,2,1 bath,,1
21811459,1,1 shared bath,1,1
21813179,4,2 shared baths,1,2
21813491,2,1 bath,1,1
21814906,3,1 bath,1,1
21815842,4,1 bath,2,2
21816278,3,1 shared bath,1,1
21816519,2,1 bath,1,1
21816757,2,1 bath,1,1
21817570,2,1 bath,1,1
21817889,6,2 baths,3,5
21818110,2,1 shared bath,1,1
21822619,2,1 bath,1,1
21822768,7,1 bath,2,4
21824420,2,1 bath,,1
21825464,2,1 shared bath,1,1
21825897,2,1 bath,,1
21826403,2,1 private bath,1,1
21827355,1,2 shared baths,1,1
21828822,2,1 shared bath,1,1
21829006,2,1 private bath,1,1
21833654,1,1 shared bath,1,1
21836461,2,1 bath,1,1
21836754,1,1 shared bath,1,1
21836784,4,1 bath,2,2
21837063,5,1.5 baths,2,3
21837620,3,2 shared baths,1,1
21838230,3,1 private bath,1,2
21839021,2,1 shared bath,1,1
21839960,1,1 shared bath,1,1
21843831,1,1 shared bath,1,1
21845187,1,1 shared bath,1,1
21849942,2,1 bath,1,2
21850082,2,1 shared bath,1,1
21850364,2,1 bath,1,1
21850834,6,1 bath,2,4
21851016,2,1 shared bath,1,1
21851228,2,1 bath,1,1
21851586,10,2.5 baths,4,5
21851700,2,1 bath,,1
21852018,6,2.5 baths,3,3
21852060,2,1 bath,1,1
21852332,8,1 bath,3,3
21852759,4,1 bath,1,3
21853347,4,1 bath,2,3
21859359,2,1 shared bath,1,1
21859689,2,1 private bath,1,1
21860011,5,1 bath,2,2
21862155,1,1.5 baths,1,1
21867440,3,1 bath,1,1
21867771,2,1 shared bath,1,2
21868116,1,1 shared bath,1,1
21868424,2,1 shared bath,1,1
21868813,3,1 bath,1,2
21869167,2,1 shared bath,1,1
21869409,6,1 bath,2,3
21869546,2,1 private bath,1,1
21870396,2,1 shared bath,1,1
21877805,5,2 baths,3,3
21878080,1,1 bath,,1
21879760,2,1 bath,1,1
21881605,6,1 bath,3,4
21881709,2,1 shared bath,1,1
21885522,4,1 bath,1,4
21885667,1,2 shared baths,1,1
21891406,1,1 shared bath,1,1
21892596,4,1 bath,,2
21892834,3,1 bath,1,1
21893129,1,1 bath,,1
21893658,2,1 bath,1,1
21895262,1,1 shared bath,1,1
21896537,3,Half-bath,,1
21897846,4,2 baths,2,2
21898732,1,2 shared baths,1,1
21899241,2,1 shared bath,1,1
21899575,2,1 bath,1,2
21901025,4,0 shared baths,1,2
21906858,2,1 bath,1,1
21907916,1,1 shared bath,1,1
21908184,1,1 bath,,2
21909291,4,1 bath,1,2
21913811,4,1 bath,2,3
21913859,2,1 shared bath,1,1
21920061,1,1 shared bath,1,1
21922407,3,1 bath,1,1
21922639,2,1 bath,,2
21924815,1,1 private bath,1,1
21925948,2,1 bath,2,1
21926279,4,1 bath,1,3
21930306,1,1 shared bath,1,1
21932460,1,1 bath,,1
21932693,2,2 shared baths,1,1
21932977,2,1.5 baths,1,1
21933065,2,1 private bath,1,1
21934181,1,1 shared bath,1,1
21934202,2,1 private bath,1,3
21934601,2,1 shared bath,1,1
21934873,1,1 bath,,1
21935245,2,1 shared bath,1,1
21935551,2,1 bath,,1
21935608,3,1 bath,1,1
21935727,4,2 baths,2,2
21939817,2,1 shared bath,1,1
21942269,2,1 bath,1,1
21943047,1,1 shared bath,1,1
21946495,4,1.5 baths,1,1
21946776,1,1 bath,1,1
21947012,2,1 shared bath,1,1
21948799,2,1 shared bath,1,1
21949305,2,1 shared bath,1,2
21950012,6,2 baths,3,3
21950138,6,2.5 baths,3,3
21950350,1,1 shared bath,1,1
21950963,3,1 bath,1,1
21951077,4,1 bath,1,1
21952133,2,1 shared bath,1,1
21958889,1,1 shared bath,1,1
21959695,2,1 bath,1,1
21959796,3,1 bath,1,1
21961462,3,1 bath,1,1
21962864,2,1 private bath,1,1
21963428,2,1 shared bath,1,1
21963575,1,1 shared bath,1,1
21964400,2,1 shared bath,1,1
21964596,4,1 bath,2,2
21965119,3,1 bath,,1
21965717,4,1 bath,1,2
21965948,1,1 shared bath,1,1
21966418,4,1 bath,2,3
21966758,6,2.5 baths,4,4
21966880,3,1 bath,1,2
21967259,2,1.5 baths,1,1
21967336,4,1 bath,2,2
21967615,5,1 bath,3,4
21967751,2,1 bath,1,1
21968568,2,1.5 shared baths,1,1
21969058,4,1 bath,2,3
21970259,3,1 shared bath,1,2
21970350,1,1 shared bath,1,1
21970487,4,1 bath,1,2
21973105,1,2 shared baths,1,1
21976874,3,1.5 baths,1,1
21978019,2,1 bath,1,1
21978558,2,1 bath,1,1
21979050,5,1 bath,2,3
21979898,2,1 bath,,1
21980316,2,1 bath,,1
21980723,16,2 baths,4,7
21981036,1,1 bath,1,1
21981313,2,1 bath,1,1
21982223,2,1.5 baths,1,1
21982333,3,1 shared bath,1,2
21982618,1,1 shared bath,1,1
21983066,2,1 shared bath,1,2
21983275,4,2 baths,2,2
21984342,2,1 bath,1,1
21985070,1,1 shared bath,1,1
21985279,10,1.5 baths,3,6
21989166,4,1 bath,2,2
21990254,2,1 shared bath,1,2
21994561,2,1 shared bath,1,1
21995314,3,1 bath,1,1
21995511,3,1 bath,1,1
21995672,3,1 bath,1,1
21995866,3,1 bath,1,1
21995883,3,2 shared baths,1,2
21996542,3,1.5 baths,2,3
21996644,3,1 bath,1,1
21997208,5,1 bath,2,2
21997247,3,1 bath,1,1
21999647,3,1.5 shared baths,1,1
22000376,7,2 baths,3,5
22000430,4,1 bath,1,2
22002827,2,1 bath,,1
22005812,2,1 bath,,2
22009620,3,1 private bath,,2
22010163,4,1 bath,2,2
22010343,3,1 bath,1,1
22011311,2,1 shared bath,1,1
22015654,3,1 bath,1,1
22017804,1,1 shared bath,1,1
22019218,3,1 shared bath,1,1
22019711,3,1 shared bath,1,2
22019912,1,1 shared bath,1,1
22020038,2,1 bath,,1
22020298,3,1 shared bath,1,1
22020696,2,1 bath,1,1
22026830,3,1 bath,2,2
22028251,1,1 private bath,1,1
22028307,5,1 bath,3,2
22029995,3,1 bath,2,2
22030593,2,1 bath,,1
22031003,1,1 shared bath,1,1
22031456,6,1.5 baths,2,5
22031539,4,1 private bath,,2
22031905,2,1 shared bath,1,1
22037644,2,1 bath,,1
22037715,12,1 bath,3,7
22041636,1,1.5 shared baths,1,1
22050058,2,1 shared bath,1,1
22050927,3,1 shared bath,1,2
22051488,4,1 private bath,1,2
22051863,2,1 bath,1,1
22054258,2,1 shared bath,1,1
22055300,2,1 shared bath,1,1
22057431,2,1 bath,,1
22059169,5,1 bath,2,2
22059613,1,2 shared baths,1,1
22060065,1,1 bath,1,1
22060924,2,1 shared bath,1,1
22062320,1,1 shared bath,1,1
22062860,4,1 bath,2,2
22064022,4,1 bath,1,2
22064262,1,1 bath,,1
22065693,5,1 bath,1,1
22066317,1,1 shared bath,1,1
22066430,2,1 bath,,1
22066551,1,1 shared bath,1,1
22066865,2,1 bath,,2
22068519,2,1 private bath,1,1
22073571,2,1 bath,1,1
22076359,6,1.5 baths,3,3
22076961,5,1 bath,2,2
22077789,2,1 private bath,1,1
22077920,6,1 bath,2,3
22079387,2,1 bath,1,1
22080281,1,1 shared bath,1,1
22081741,2,1 shared bath,1,1
22081938,2,1.5 shared baths,1,1
22082124,2,1.5 baths,1,1
22082514,2,1 shared bath,1,1
22082903,2,1 bath,,1
22084212,2,1 bath,1,1
22084321,2,1 bath,1,1
22085185,2,1 bath,1,1
22086471,2,1 bath,2,2
22086968,5,1 bath,2,3
22087030,4,1 bath,3,2
22087093,2,1 shared bath,1,1
22088276,4,1 bath,2,2
22088301,6,1.5 baths,3,2
22088784,2,1 bath,1,1
22089194,4,1 bath,2,2
22096182,2,1.5 shared baths,1,1
22096640,2,1 shared bath,1,1
22096731,2,1 shared bath,1,1
22098435,1,1 shared bath,1,1
22100970,2,1 bath,1,1
22101034,4,1 bath,1,2
22105520,5,2 baths,2,2
22106002,1,1 shared bath,1,1
22107368,1,1 shared bath,1,1
22107514,3,1 bath,1,2
22107619,4,1 shared bath,2,2
22108302,2,1.5 baths,1,1
22117983,4,1 bath,1,1
22119375,1,1 shared bath,1,1
22121483,2,1 bath,1,1
22122470,4,2 baths,2,2
22122723,1,1 shared bath,1,1
22125701,1,1.5 shared baths,1,1
22126122,3,1 shared bath,1,2
22129871,2,1 bath,1,1
22139932,2,1 shared bath,1,1
22142173,2,1 bath,1,1
22142447,4,2 baths,2,4
22142575,2,1 bath,1,1
22142636,2,1 bath,1,1
22143750,2,1 shared bath,1,1
22144662,2,1 bath,,1
22146792,4,2 baths,2,2
22147426,6,1 bath,2,6
22148073,1,1 shared bath,1,1
22150956,4,1 bath,1,2
22151067,1,1 shared bath,1,1
22151092,2,1 shared bath,1,1
22151598,4,1 bath,2,3
22151798,2,1 bath,1,1
22152232,2,1 shared bath,1,1
22152376,6,2 baths,2,3
22152785,4,2 baths,2,2
22153425,4,1 bath,1,1
22153909,1,1 shared bath,1,1
22154118,3,2 baths,1,1
22157683,3,1 bath,1,1
22157982,1,1 shared bath,1,1
22160989,5,1 bath,2,2
22161900,3,1 bath,1,1
22165628,1,1 shared bath,1,1
22165797,2,1 shared bath,1,2
22166055,4,1 bath,2,3
22167066,2,1 shared bath,1,1
22167198,4,1 bath,2,4
22173625,2,1 bath,1,1
22173887,2,1 shared bath,1,1
22174482,1,1 shared bath,1,1
22175249,2,1 shared bath,1,1
22175928,2,1 shared bath,1,2
22176026,1,1 shared bath,1,1
22176062,1,1 shared bath,1,1
22176068,4,2 baths,2,2
22176678,2,1 bath,1,1
22176782,2,1 shared bath,1,2
22178073,2,1 private bath,1,1
22184960,2,1 shared bath,1,1
22187284,5,1 bath,2,2
22187361,2,1 bath,1,1
22188050,2,1 bath,2,1
22188609,3,1 shared bath,1,1
22188812,4,1 bath,2,2
22189962,6,1 bath,1,2
22190466,5,1 private bath,1,3
22191121,6,1 bath,2,3
22191302,2,1 bath,,1
22191500,1,1 shared bath,1,
22191646,4,1 bath,1,1
22192417,2,1 bath,1,1
22192616,4,1 bath,2,3
22195204,1,1 shared bath,1,1
22203734,2,1 bath,1,1
22203739,3,1 bath,,2
22204856,2,1 shared bath,1,1
22205277,2,1 shared bath,1,1
22205280,2,1 bath,1,1
22205619,2,1 private bath,2,1
22206345,1,1 private bath,1,1
22206601,3,1 bath,1,1
22207978,4,2 baths,1,1
22208315,1,1 shared bath,1,1
22208373,2,1 bath,,1
22209681,2,1 bath,,1
22210721,4,1 bath,1,2
22213450,1,1 private bath,1,1
22213508,4,1 bath,2,2
22213572,4,1 shared bath,2,1
22214383,2,1 bath,1,1
22214408,2,1 shared bath,1,1
22214478,1,1 private bath,1,1
22214594,2,2 baths,,1
22226334,2,1 shared bath,1,2
22227015,4,1 bath,1,2
22229755,2,1 bath,1,2
22231453,2,1 shared bath,1,1
22231557,2,1 shared bath,1,1
22231811,4,1 bath,1,1
22232328,4,1 bath,2,3
22233024,2,1 bath,1,1
22238046,1,1 private bath,,1
22238789,1,1 shared bath,1,1
22243957,2,1 private bath,1,1
22244184,2,1 private bath,1,1
22245492,2,2 baths,1,2
22245972,1,1 shared bath,1,1
22246770,2,1 shared bath,1,1
22247316,2,1 shared bath,1,1
22249013,1,2 shared baths,1,1
22249256,4,1 bath,1,1
22249805,2,1 shared bath,1,1
22249905,4,1 bath,1,1
22250309,4,2 baths,1,1
22250584,1,1 bath,1,1
22250850,2,1 shared bath,1,1
22251000,2,1 bath,1,1
22251486,2,1 shared bath,1,1
22251884,2,1 bath,1,1
22252595,2,1 private bath,1,2
22258326,4,1 bath,1,1
22258880,3,1 shared bath,1,2
22259472,6,1.5 baths,3,5
22259480,1,1 shared bath,1,1
22260331,2,1 shared bath,1,1
22264539,1,1 private bath,1,1
22264586,2,1 shared bath,1,1
22265411,5,1 bath,2,2
22265765,5,1 bath,2,2
22266538,2,1 shared bath,1,2
22266609,1,1 shared bath,1,1
22275245,2,1 shared bath,2,1
22276159,2,1 shared bath,1,1
22276602,2,1 bath,1,1
22277436,2,1 bath,1,1
22277909,4,1 bath,1,2
22279816,1,2 baths,1,1
22280002,4,1 bath,1,2
22280395,2,1 bath,1,1
22280404,1,2 shared baths,1,1
22280432,1,1 shared bath,1,1
22280482,2,1 shared bath,1,1
22282513,2,1 shared bath,1,1
22282585,2,1 bath,,1
22288453,1,1 shared bath,1,1
22289185,4,1 bath,1,1
22290580,2,1 shared bath,1,1
22291938,3,1 private bath,1,1
22292233,9,1 bath,3,5
22294028,1,1 shared bath,1,2
22294260,6,1 bath,2,2
22295587,2,1 private bath,1,1
22295591,5,2 baths,3,3
22302587,2,1 private bath,1,1
22303888,2,1 bath,1,1
22304663,4,1 bath,2,2
22304757,2,1 bath,1,1
22305350,2,1 shared bath,1,1
22305896,4,1 bath,2,2
22306777,2,1 bath,1,1
22306969,3,1 bath,1,2
22308180,2,1 bath,,1
22308824,4,1 bath,1,2
22309027,4,1 bath,1,1
22309304,3,1 bath,1,1
22309568,1,1 shared bath,1,1
22312190,2,1 shared bath,1,1
22312886,2,1 bath,,1
22321322,3,1 bath,1,2
22321716,4,1 bath,,1
22323204,5,2 baths,2,5
22327622,2,1 bath,1,1
22327744,1,1 shared bath,1,1
22328208,1,1 shared bath,,2
22330756,2,1 shared bath,1,1
22336218,1,1 shared bath,1,1
22336423,4,1 shared bath,1,2
22337162,1,1 shared bath,1,1
22338452,3,1 bath,1,1
22338613,3,1 bath,1,1
22338852,2,1 shared bath,1,1
22339264,4,1 bath,1,2
22339698,4,1 bath,1,2
22340384,16,1.5 baths,3,7
22341035,1,1 shared bath,1,1
22341660,1,1 shared bath,1,1
22342020,1,1 shared bath,1,1
22342076,2,1 shared bath,1,1
22343079,2,2 shared baths,1,1
22343274,1,1.5 shared baths,1,1
22343553,2,1 shared bath,1,1
22343909,2,1 bath,1,1
22344067,4,1 private bath,2,2
22344483,2,1 bath,1,2
22345676,4,1 bath,,1
22345693,2,1 shared bath,1,1
22346131,2,1 bath,1,2
22346441,4,1 shared bath,1,2
22350243,4,1 shared bath,1,2
22352661,2,1 bath,,1
22353870,2,2 shared baths,1,1
22354598,1,1 bath,,1
22355505,1,1 shared bath,1,1
22356093,1,1 shared bath,,1
22356352,2,1 bath,1,1
22356845,1,1 shared bath,1,1
22360657,2,1.5 baths,1,1
22361657,1,2 shared baths,1,1
22363371,2,1 bath,1,1
22365504,3,1 shared bath,1,3
22367196,1,1 shared bath,1,1
22368370,4,1 bath,2,4
22370339,2,1 bath,1,1
22371868,3,1 bath,1,1
22372893,2,3 shared baths,1,1
22374799,6,1 bath,2,3
22376011,2,1 shared bath,1,1
22376093,4,1 bath,1,1
22376956,2,1 bath,1,1
22381052,3,1 private bath,1,1
22382300,4,1 bath,1,4
22382863,2,1 private bath,1,2
22385672,2,2 baths,2,2
22387499,4,1 bath,2,3
22387975,1,1 shared bath,1,1
22389035,2,1 shared bath,1,1
22389296,2,1 shared bath,1,1
22390755,4,2 shared baths,2,1
22392030,2,1 bath,1,1
22393526,2,1 bath,,1
22395320,2,1 private bath,1,1
22397992,2,1 shared bath,1,1
22399103,2,1 bath,,1
22400568,4,1 bath,1,3
22401504,4,1 bath,2,4
22401901,2,1 bath,,1
22406251,2,1 shared bath,1,1
22407389,1,1 shared bath,1,1
22408527,1,1 bath,2,3
22409073,2,1 bath,1,1
22409377,2,1 shared bath,1,1
22409448,4,1 bath,1,2
22409935,3,1 bath,1,1
22410359,2,1 shared bath,2,1
22411635,2,1 shared bath,1,1
22417648,2,1 private bath,1,1
22420902,1,1 shared bath,1,1
22421636,3,1 bath,1,2
22431770,2,1 private bath,1,1
22432497,1,2 baths,3,1
22434861,6,2.5 baths,3,4
22435019,4,2 baths,1,3
22435813,2,1 shared bath,1,1
22436168,1,1 shared bath,,1
22436287,3,1 bath,1,1
22436899,4,1 bath,1,1
22440046,2,1 shared bath,1,1
22445948,2,1 shared bath,1,1
22445969,2,1 bath,1,1
22446079,2,1 bath,1,1
22446479,1,0 shared baths,1,1
22448487,2,1 bath,1,1
22448627,1,2 shared baths,3,1
22450373,2,1 bath,,2
22452278,2,1 bath,,1
22452728,2,1 shared bath,1,1
22453638,5,1 bath,2,2
22454253,5,1 bath,1,2
22454537,4,1 private bath,1,2
22460607,2,1 bath,1,1
22460669,2,1 shared bath,1,1
22462797,3,1 bath,,1
22463977,2,1 shared bath,1,1
22464789,2,1 bath,1,1
22465327,12,3 baths,5,5
22468075,2,1 bath,1,1
22471099,1,1 shared bath,1,1
22472801,2,1 bath,,
22480209,3,1 shared bath,3,3
22481246,4,1 bath,1,3
22481840,1,1 bath,1,1
22482376,2,1 shared bath,1,2
22483110,3,1 bath,1,2
22483776,1,1 shared bath,1,1
22484057,2,1 shared bath,1,1
22485658,4,2 baths,2,2
22491853,2,1 shared bath,1,1
22497711,2,1 bath,,2
22503340,1,1 shared bath,1,1
22504678,2,1 shared bath,1,1
22505480,2,1 private bath,1,1
22512408,1,1 shared bath,1,1
22514608,2,1 bath,,1
22515792,2,1 private bath,1,1
22516244,3,1 bath,1,2
22516600,2,1 shared bath,1,1
22516899,2,Private half-bath,1,1
22529259,2,1 bath,1,1
22530764,2,1 shared bath,1,1
22531031,3,1 bath,1,2
22531866,1,1 private bath,1,1
22534758,4,1 bath,2,2
22535503,4,2 baths,2,3
22543433,7,2.5 baths,4,4
22545036,1,1 shared bath,1,1
22545284,4,1 bath,,2
22546236,3,1 shared bath,1,2
22548780,1,1 shared bath,1,1
22550289,4,1 bath,1,2
22551923,4,1 bath,1,2
22567430,2,1.5 baths,,1
22568389,1,1 shared bath,1,1
22569493,2,1 bath,1,2
22570044,2,1 shared bath,1,1
22574255,2,1 shared bath,1,1
22578161,1,1 shared bath,1,1
22580406,1,1 shared bath,1,2
22582841,8,1 bath,3,4
22584507,1,1 shared bath,1,1
22586049,3,1 bath,1,1
22587295,4,1 bath,2,2
22588755,1,1 shared bath,1,1
22589500,3,1 bath,1,2
22601143,1,1 shared bath,1,1
22601249,6,1 bath,2,2
22602605,5,2 baths,2,2
22602996,2,1 shared bath,1,1
22609277,2,1 private bath,1,1
22610279,2,1 bath,1,1
22611108,4,1 bath,1,2
22611675,1,1 shared bath,1,1
22613197,2,1 bath,1,1
22618211,2,1 bath,,1
22627980,2,1 bath,,1
22628471,2,1 bath,,1
22629696,2,1 shared bath,1,1
22631617,2,1 shared bath,1,1
22631779,3,1 private bath,1,2
22634088,2,1 shared bath,1,1
22638243,2,1 shared bath,1,1
22651032,2,1 bath,1,1
22651614,1,1 shared bath,1,1
