id,accommodates,bathrooms_text,bedrooms,beds
151199,3,1 bath,2,2
152071,2,1 bath,1,1
152263,8,1 bath,2,6
152819,5,2 baths,3,3
153780,2,1 private bath,1,1
155087,4,1.5 baths,3,3
157673,4,1 bath,1,1
158061,2,1 bath,1,1
158178,2,1 private bath,2,1
159749,3,1 private bath,1,2
159815,2,1 shared bath,1,1
159913,2,1 shared bath,1,2
162493,6,2.5 baths,3,3
162508,2,1 bath,1,3
163814,5,1 bath,1,3
166006,6,1 bath,2,3
166172,2,1 shared bath,1,1
166983,6,2 baths,3,4
168123,2,1 bath,1,1
169306,2,1 shared bath,1,1
169464,4,1 bath,1,2
169483,4,1 bath,1,1
170420,2,1 bath,1,1
170761,2,1.5 shared baths,1,1
171562,2,1 bath,,2
171978,3,1 bath,1,2
173151,2,1 private bath,1,1
174966,9,2.5 baths,2,3
175470,6,1 bath,2,3
177495,4,1.5 baths,2,2
177606,2,1 private bath,1,1
179741,6,1 bath,2,3
182069,3,1 bath,,1
182177,5,1 bath,1,2
187566,2,1 bath,1,1
187986,4,1.5 baths,2,2
188674,2,1 bath,1,1
188803,2,1.5 shared baths,1,1
189135,2,1 shared bath,1,1
189181,2,1 private bath,1,2
189732,8,1.5 baths,3,5
189787,2,1 bath,1,1
190968,2,1 bath,1,1
190974,3,1 bath,1,2
191610,2,1 private bath,1,1
195123,2,1.5 shared baths,1,1
195989,2,1 private bath,1,1
197942,2,1 bath,2,2
198028,2,1 shared bath,1,2
198478,1,1 bath,1,1
199312,2,1 shared bath,1,1
200645,1,,1,1
200955,2,1 bath,1,1
201514,4,1 bath,1,1
201992,4,1 bath,1,2
202273,2,1 bath,1,1
203901,4,1 bath,1,1
204065,8,1 bath,2,5
205485,2,1 bath,1,1
205867,3,1 bath,1,3
206316,2,1 bath,,2
206772,2,1 bath,1,1
206957,4,1 private bath,1,4
208148,2,1 bath,1,1
208889,4,1 bath,2,2
209310,2,1 shared bath,1,2
212109,1,1 shared bath,2,2
212544,3,1.5 baths,1,1
213330,2,2 baths,1,1
214917,3,1 bath,1,2
216080,2,1 private bath,1,1
218358,1,1 shared bath,1,1
219066,2,1 bath,1,1
219922,1,1 shared bath,1,2
220563,2,1 bath,1,1
222304,2,1 bath,1,1
222913,4,1 bath,2,2
223930,2,1 bath,1,1
224004,2,1 shared bath,1,1
225354,2,1 bath,1,1
225976,3,1 bath,1,1
226021,5,1 bath,2,3
226637,2,1 shared bath,,1
227495,2,1 bath,1,2
227715,4,1 bath,2,2
228317,4,1 bath,1,1
228925,2,1 bath,1,2
230877,2,1 bath,1,1
231154,3,1 private bath,1,1
232612,2,1 bath,,1
233638,2,1 bath,1,2
235515,1,1 shared bath,1,1
235552,5,2 baths,3,3
235651,3,1 shared bath,1,1
235951,2,1 bath,1,1
235960,2,1 bath,1,1
236671,1,1 bath,1,2
239733,1,1 bath,1,1
239899,2,1 bath,1,1
239934,4,1 bath,2,2
242643,5,1 bath,1,1
244649,1,1 shared bath,1,1
245544,3,1 shared bath,1,2
245574,4,1 bath,1,2
246351,2,1 bath,1,1
